	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034604_Sporopachydermia_lactativora
0	OG0000000	YCL074W	augustus_masked-NODE_308_length_3263_cov_610.125_ID_615-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_308_length_3263_cov_610.125_ID_615-processed-gene-0.2&CDS=1-1017, augustus_masked-NODE_363_length_2188_cov_357.064_ID_725-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_363_length_2188_cov_357.064_ID_725-processed-gene-0.2&CDS=1-1017, augustus_masked-NODE_377_length_2073_cov_424.369_ID_753-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_377_length_2073_cov_424.369_ID_753-processed-gene-0.1&CDS=1-1017, augustus_masked-NODE_407_length_1808_cov_406.69_ID_813-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_407_length_1808_cov_406.69_ID_813-processed-gene-0.0&CDS=1-1017, augustus_masked-NODE_470_length_1409_cov_678.116_ID_939-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_470_length_1409_cov_678.116_ID_939-processed-gene-0.2&CDS=1-939, augustus_masked-NODE_514_length_1230_cov_495.419_ID_1027-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_514_length_1230_cov_495.419_ID_1027-processed-gene-0.1&CDS=1-1011, augustus_masked-NODE_523_length_1190_cov_349.708_ID_1045-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_523_length_1190_cov_349.708_ID_1045-processed-gene-0.0&CDS=1-846, augustus_masked-NODE_567_length_1013_cov_404.926_ID_1133-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_567_length_1013_cov_404.926_ID_1133-processed-gene-0.1&CDS=1-915, genemark-NODE_321_length_2905_cov_492.083_ID_641-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_321_length_2905_cov_492.083_ID_641-processed-gene-0.2&CDS=1-2835, genemark-NODE_547_length_1099_cov_406.31_ID_1093-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_547_length_1099_cov_406.31_ID_1093-processed-gene-0.1&CDS=1-1059, genemark-NODE_636_length_851_cov_791.669_ID_1271-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_636_length_851_cov_791.669_ID_1271-processed-gene-0.0&CDS=1-813, maker-NODE_295_length_3664_cov_469.715_ID_589-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_295_length_3664_cov_469.715_ID_589-augustus-gene-0.1&CDS=1-1371, maker-NODE_302_length_3423_cov_480.231_ID_603-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_302_length_3423_cov_480.231_ID_603-augustus-gene-0.2&CDS=1-1371, maker-NODE_319_length_2994_cov_60.3346_ID_637-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_319_length_2994_cov_60.3346_ID_637-augustus-gene-0.3&CDS=1-1341, maker-NODE_394_length_1931_cov_409.95_ID_787-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_394_length_1931_cov_409.95_ID_787-snap-gene-0.1&CDS=1-1017, maker-NODE_410_length_1799_cov_704.471_ID_819-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_410_length_1799_cov_704.471_ID_819-snap-gene-0.1&CDS=1-1182, maker-NODE_411_length_1799_cov_737.644_ID_821-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_411_length_1799_cov_737.644_ID_821-snap-gene-0.0&CDS=1-1182, maker-NODE_422_length_1710_cov_694.749_ID_843-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_422_length_1710_cov_694.749_ID_843-augustus-gene-0.1&CDS=1-1071, maker-NODE_440_length_1560_cov_571.28_ID_879-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_440_length_1560_cov_571.28_ID_879-snap-gene-0.0&CDS=1-1026, maker-NODE_446_length_1529_cov_416.817_ID_891-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_446_length_1529_cov_416.817_ID_891-augustus-gene-0.1&CDS=1-1083, maker-NODE_447_length_1529_cov_491.011_ID_893-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_447_length_1529_cov_491.011_ID_893-augustus-gene-0.1&CDS=1-1083, maker-NODE_466_length_1426_cov_790.399_ID_931-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_466_length_1426_cov_790.399_ID_931-snap-gene-0.3&CDS=1-1026, maker-NODE_540_length_1120_cov_545.206_ID_1079-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_540_length_1120_cov_545.206_ID_1079-augustus-gene-0.2&CDS=1-837, snap_masked-NODE_237_length_9452_cov_42.4208_ID_473-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_237_length_9452_cov_42.4208_ID_473-processed-gene-0.1&CDS=1-201, snap_masked-NODE_285_length_4070_cov_45.0676_ID_569-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_285_length_4070_cov_45.0676_ID_569-processed-gene-0.2&CDS=1-1284, snap_masked-NODE_328_length_2745_cov_123.051_ID_655-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_328_length_2745_cov_123.051_ID_655-processed-gene-0.0&CDS=1-300, snap_masked-NODE_412_length_1792_cov_247.328_ID_823-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_412_length_1792_cov_247.328_ID_823-processed-gene-0.2&CDS=1-1083, snap_masked-NODE_430_length_1635_cov_499.462_ID_859-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_430_length_1635_cov_499.462_ID_859-processed-gene-0.2&CDS=1-966, snap_masked-NODE_570_length_1000_cov_492.045_ID_1139-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_570_length_1000_cov_492.045_ID_1139-processed-gene-0.0&CDS=1-846
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	snap_masked-NODE_165_length_27221_cov_29.6576_ID_329-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_165_length_27221_cov_29.6576_ID_329-processed-gene-0.29&CDS=1-1674
2	OG0000002	YNL206C	augustus_masked-NODE_169_length_25829_cov_60.3089_ID_337-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_169_length_25829_cov_60.3089_ID_337-processed-gene-0.12&CDS=1-513, augustus_masked-NODE_16_length_167979_cov_34.2736_ID_31-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_16_length_167979_cov_34.2736_ID_31-processed-gene-0.65&CDS=1-513, augustus_masked-NODE_188_length_20578_cov_48.0357_ID_375-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_188_length_20578_cov_48.0357_ID_375-processed-gene-0.36&CDS=1-600, augustus_masked-NODE_761_length_596_cov_372.398_ID_1521-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_761_length_596_cov_372.398_ID_1521-processed-gene-0.2&CDS=1-591, snap_masked-NODE_143_length_34432_cov_39.2361_ID_285-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_143_length_34432_cov_39.2361_ID_285-processed-gene-0.30&CDS=1-513, snap_masked-NODE_192_length_19441_cov_41.6381_ID_383-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_192_length_19441_cov_41.6381_ID_383-processed-gene-0.10&CDS=1-513, snap_masked-NODE_201_length_15880_cov_47.6331_ID_401-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_201_length_15880_cov_47.6331_ID_401-processed-gene-0.0&CDS=1-513, snap_masked-NODE_399_length_1884_cov_274.145_ID_797-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_399_length_1884_cov_274.145_ID_797-processed-gene-0.0&CDS=1-951, snap_masked-NODE_414_length_1752_cov_290.066_ID_827-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_414_length_1752_cov_290.066_ID_827-processed-gene-0.0&CDS=1-951, snap_masked-NODE_449_length_1526_cov_232.505_ID_897-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_449_length_1526_cov_232.505_ID_897-processed-gene-0.0&CDS=1-513, snap_masked-NODE_681_length_743_cov_298.676_ID_1361-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_681_length_743_cov_298.676_ID_1361-processed-gene-0.0&CDS=1-513, snap_masked-NODE_80_length_69998_cov_34.6544_ID_159-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_80_length_69998_cov_34.6544_ID_159-processed-gene-0.61&CDS=1-513, snap_masked-NODE_84_length_66006_cov_36.389_ID_167-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_84_length_66006_cov_36.389_ID_167-processed-gene-0.52&CDS=1-513, snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.58&CDS=1-513, snap_masked-NODE_91_length_63259_cov_32.7231_ID_181-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_91_length_63259_cov_32.7231_ID_181-processed-gene-0.66&CDS=1-513
3	OG0000003	YCL075W	augustus_masked-NODE_335_length_2647_cov_574.519_ID_669-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_335_length_2647_cov_574.519_ID_669-processed-gene-0.3&CDS=1-1461, augustus_masked-NODE_409_length_1806_cov_643.271_ID_817-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_409_length_1806_cov_643.271_ID_817-processed-gene-0.2&CDS=1-699, augustus_masked-NODE_444_length_1541_cov_444.579_ID_887-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_444_length_1541_cov_444.579_ID_887-processed-gene-0.0&CDS=1-894, augustus_masked-NODE_519_length_1209_cov_770.414_ID_1037-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_519_length_1209_cov_770.414_ID_1037-processed-gene-0.0&CDS=1-879, augustus_masked-NODE_520_length_1209_cov_856.323_ID_1039-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_520_length_1209_cov_856.323_ID_1039-processed-gene-0.1&CDS=1-879, augustus_masked-NODE_532_length_1139_cov_424.124_ID_1063-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_532_length_1139_cov_424.124_ID_1063-processed-gene-0.1&CDS=1-669, augustus_masked-NODE_559_length_1050_cov_727.327_ID_1117-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_559_length_1050_cov_727.327_ID_1117-processed-gene-0.2&CDS=1-948, augustus_masked-NODE_755_length_602_cov_1008.86_ID_1509-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_755_length_602_cov_1008.86_ID_1509-processed-gene-0.0&CDS=1-597, snap_masked-NODE_368_length_2140_cov_885.797_ID_735-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_368_length_2140_cov_885.797_ID_735-processed-gene-0.0&CDS=1-1491, snap_masked-NODE_431_length_1635_cov_724.835_ID_861-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_431_length_1635_cov_724.835_ID_861-processed-gene-0.0&CDS=1-885, snap_masked-NODE_432_length_1610_cov_1078.89_ID_863-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_432_length_1610_cov_1078.89_ID_863-processed-gene-0.2&CDS=1-1452, snap_masked-NODE_510_length_1251_cov_783.531_ID_1019-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_510_length_1251_cov_783.531_ID_1019-processed-gene-0.2&CDS=1-993
4	OG0000004	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.119&CDS=1-2322, snap_masked-NODE_133_length_38376_cov_30.9779_ID_265-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_133_length_38376_cov_30.9779_ID_265-processed-gene-0.1&CDS=1-3438, snap_masked-NODE_14_length_184108_cov_30.7701_ID_27-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_14_length_184108_cov_30.7701_ID_27-processed-gene-0.71&CDS=1-2571, snap_masked-NODE_73_length_73762_cov_28.7491_ID_145-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_73_length_73762_cov_28.7491_ID_145-processed-gene-0.55&CDS=1-4152
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_217_length_12918_cov_32.5926_ID_433-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_217_length_12918_cov_32.5926_ID_433-snap-gene-0.11&CDS=1-1593
7	OG0000007	YCL024W, YDR477W, YDR507C	snap_masked-NODE_143_length_34432_cov_39.2361_ID_285-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_143_length_34432_cov_39.2361_ID_285-processed-gene-0.42&CDS=1-3228, snap_masked-NODE_152_length_30373_cov_29.3602_ID_303-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_152_length_30373_cov_29.3602_ID_303-processed-gene-0.43&CDS=1-1770, snap_masked-NODE_80_length_69998_cov_34.6544_ID_159-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_80_length_69998_cov_34.6544_ID_159-processed-gene-0.78&CDS=1-3771
8	OG0000008	YDR011W, YPL058C	snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.150&CDS=1-4467, snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.176&CDS=1-4437, snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.215-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.215&CDS=1-4458, snap_masked-NODE_7_length_250496_cov_31.8261_ID_13-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NODE_7_length_250496_cov_31.8261_ID_13-processed-gene-1.22&CDS=1-4587
9	OG0000009	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.24&CDS=1-2088
