	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035671_Phaffomyces_antillensis
0	OG0000000	YCL075W	augustus_masked-flattened_line_1231-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1231-processed-gene-0.0&CDS=1-339, augustus_masked-flattened_line_1297-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1297-processed-gene-0.2&CDS=1-321, augustus_masked-flattened_line_409-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_409-processed-gene-0.2&CDS=1-765, augustus_masked-flattened_line_417-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_417-processed-gene-0.0&CDS=1-750, augustus_masked-flattened_line_509-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_509-processed-gene-0.2&CDS=1-420, augustus_masked-flattened_line_843-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_843-processed-gene-0.2&CDS=1-399, augustus_masked-flattened_line_879-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_879-processed-gene-0.2&CDS=1-303, snap_masked-flattened_line_12-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.137&CDS=1-1032, snap_masked-flattened_line_285-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_285-processed-gene-0.1&CDS=1-798, snap_masked-flattened_line_293-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_293-processed-gene-0.2&CDS=1-1452, snap_masked-flattened_line_363-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_363-processed-gene-0.0&CDS=1-762, snap_masked-flattened_line_431-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_431-processed-gene-0.1&CDS=1-852
1	OG0000001	YBR240C	genemark-flattened_line_86-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.124&CDS=1-1371, maker-flattened_line_122-snap-gene-0.81-mRNA-1_1&gene=maker-flattened_line_122-snap-gene-0.81&CDS=1-1857, maker-flattened_line_52-augustus-gene-0.135-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.135&CDS=1-1881, snap_masked-flattened_line_0-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.98&CDS=1-498, snap_masked-flattened_line_135-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.21&CDS=1-477, snap_masked-flattened_line_14-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.33&CDS=1-828, snap_masked-flattened_line_22-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.87&CDS=1-2019, snap_masked-flattened_line_44-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.34&CDS=1-1809, snap_masked-flattened_line_52-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.85&CDS=1-1908
2	OG0000002	YCL025C, YDR508C, YGR191W, YKR039W	genemark-flattened_line_70-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.63&CDS=1-1812, snap_masked-flattened_line_120-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.38&CDS=1-1752, snap_masked-flattened_line_199-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.20&CDS=1-1746, snap_masked-flattened_line_28-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.67&CDS=1-1761, snap_masked-flattened_line_46-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.99&CDS=1-1746, snap_masked-flattened_line_58-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.31&CDS=1-1761
3	OG0000003		augustus_masked-flattened_line_373-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_373-processed-gene-0.0&CDS=1-765, augustus_masked-flattened_line_569-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_569-processed-gene-0.0&CDS=1-198, augustus_masked-flattened_line_905-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_905-processed-gene-0.0&CDS=1-396, snap_masked-flattened_line_1227-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1227-processed-gene-0.1&CDS=1-156, snap_masked-flattened_line_1571-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1571-processed-gene-0.0&CDS=1-195, snap_masked-flattened_line_551-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_551-processed-gene-0.1&CDS=1-441, snap_masked-flattened_line_641-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_641-processed-gene-0.0&CDS=1-441, snap_masked-flattened_line_687-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_687-processed-gene-0.0&CDS=1-387, snap_masked-flattened_line_86-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.57&CDS=1-582
4	OG0000004	YDL239C	augustus_masked-flattened_line_132-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.27&CDS=1-1431, augustus_masked-flattened_line_199-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_199-processed-gene-0.2&CDS=1-555, augustus_masked-flattened_line_199-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_199-processed-gene-0.3&CDS=1-555, augustus_masked-flattened_line_233-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_233-processed-gene-0.9&CDS=1-891, augustus_masked-flattened_line_84-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.141&CDS=1-1788, snap_masked-flattened_line_104-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.21&CDS=1-2484, snap_masked-flattened_line_233-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_233-processed-gene-0.6&CDS=1-354
5	OG0000005	YDR011W, YDR406W, YOR153W	snap_masked-flattened_line_104-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.22&CDS=1-4446, snap_masked-flattened_line_2-processed-gene-4.113-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.113&CDS=1-4401, snap_masked-flattened_line_26-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.122&CDS=1-4581, snap_masked-flattened_line_34-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.41&CDS=1-4485, snap_masked-flattened_line_4-processed-gene-3.125-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.125&CDS=1-4464
6	OG0000006	YDR466W, YDR471W, YDR490C, YHR010W, YOL100W	maker-flattened_line_18-augustus-gene-1.303-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.303&CDS=1-3576, maker-flattened_line_82-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_82-snap-gene-0.0&CDS=1-408, snap_masked-flattened_line_82-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.108&CDS=1-2436
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_0-processed-gene-2.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.103&CDS=1-1023, snap_masked-flattened_line_118-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.88&CDS=1-1044, snap_masked-flattened_line_126-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.2&CDS=1-1047, snap_masked-flattened_line_182-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_182-processed-gene-0.22&CDS=1-1038
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	genemark-flattened_line_10-processed-gene-2.85-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.85&CDS=1-3861, genemark-flattened_line_86-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.109&CDS=1-2652, snap_masked-flattened_line_118-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.77&CDS=1-2175, snap_masked-flattened_line_50-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.100&CDS=1-2511
9	OG0000009	YKL220C, YLR214W, YNR060W, YOR381W	augustus_masked-flattened_line_44-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.215&CDS=1-1983, genemark-flattened_line_26-processed-gene-1.8-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.8&CDS=1-1836, snap_masked-flattened_line_0-processed-gene-4.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.64&CDS=1-2082, snap_masked-flattened_line_16-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.84&CDS=1-2076
10	OG0000010	YAR019C, YDR523C, YHR102W	snap_masked-flattened_line_12-processed-gene-2.149-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.149&CDS=1-3060, snap_masked-flattened_line_145-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.51&CDS=1-1458, snap_masked-flattened_line_32-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.47&CDS=1-2583, snap_masked-flattened_line_42-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.37&CDS=1-1425
11	OG0000011	YBL063W, YEL061C, YKL079W	genemark-flattened_line_116-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.42&CDS=1-4410, snap_masked-flattened_line_36-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.63&CDS=1-1437, snap_masked-flattened_line_48-processed-gene-0.244-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.244&CDS=1-3270, snap_masked-flattened_line_66-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.130&CDS=1-2313
