	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034742_Lipomyces_suomiensis
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	
1	OG0000001	YPR194C	augustus_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-3.58&CDS=1-2640, augustus_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-1.57&CDS=1-2580, maker-NODE_17_length_337742_cov_21.7864_ID_33-augustus-gene-1.55-mRNA-1_1&gene=maker-NODE_17_length_337742_cov_21.7864_ID_33-augustus-gene-1.55&CDS=1-2754, maker-NODE_40_length_82193_cov_22.0704_ID_79-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_40_length_82193_cov_22.0704_ID_79-snap-gene-0.9&CDS=1-2580, maker-NODE_66_length_5229_cov_30.1084_ID_131-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_66_length_5229_cov_30.1084_ID_131-snap-gene-0.0&CDS=1-2586, snap_masked-NODE_12_length_407314_cov_21.4108_ID_23-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_12_length_407314_cov_21.4108_ID_23-processed-gene-0.127&CDS=1-2580, snap_masked-NODE_17_length_337742_cov_21.7864_ID_33-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_17_length_337742_cov_21.7864_ID_33-processed-gene-0.118&CDS=1-2574, snap_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-0.121&CDS=1-2580, snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-4.70&CDS=1-2640, snap_masked-NODE_21_length_287349_cov_21.5713_ID_41-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_21_length_287349_cov_21.5713_ID_41-processed-gene-1.8&CDS=1-2589, snap_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-1.131&CDS=1-2592, snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-3.130&CDS=1-2541, snap_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-1.159&CDS=1-2613, snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.9&CDS=1-2598, snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-4.185-mRNA-1_1&gene=snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-4.185&CDS=1-2613, snap_masked-NODE_8_length_529058_cov_21.6031_ID_15-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_8_length_529058_cov_21.6031_ID_15-processed-gene-1.51&CDS=1-2616
2	OG0000002	YDL135C, YDR536W, YFL040W	augustus_masked-NODE_18_length_332278_cov_21.6718_ID_35-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_18_length_332278_cov_21.6718_ID_35-processed-gene-2.87&CDS=1-1587, augustus_masked-NODE_3_length_834750_cov_21.9249_ID_5-processed-gene-7.242-mRNA-1_1&gene=augustus_masked-NODE_3_length_834750_cov_21.9249_ID_5-processed-gene-7.242&CDS=1-1608, maker-NODE_23_length_242483_cov_21.5341_ID_45-snap-gene-0.142-mRNA-1_1&gene=maker-NODE_23_length_242483_cov_21.5341_ID_45-snap-gene-0.142&CDS=1-1584, maker-NODE_2_length_891861_cov_21.8302_ID_3-augustus-gene-1.169-mRNA-1_1&gene=maker-NODE_2_length_891861_cov_21.8302_ID_3-augustus-gene-1.169&CDS=1-2592, maker-NODE_36_length_86775_cov_22.1898_ID_71-snap-gene-0.95-mRNA-1_1&gene=maker-NODE_36_length_86775_cov_22.1898_ID_71-snap-gene-0.95&CDS=1-1653, maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-5.140-mRNA-1_1&gene=maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-5.140&CDS=1-4629, maker-NODE_6_length_613558_cov_21.9661_ID_11-snap-gene-3.79-mRNA-1_1&gene=maker-NODE_6_length_613558_cov_21.9661_ID_11-snap-gene-3.79&CDS=1-1686, maker-NODE_7_length_563888_cov_21.4671_ID_13-snap-gene-4.321-mRNA-1_1&gene=maker-NODE_7_length_563888_cov_21.4671_ID_13-snap-gene-4.321&CDS=1-1563, snap_masked-NODE_13_length_366483_cov_21.8055_ID_25-processed-gene-2.150-mRNA-1_1&gene=snap_masked-NODE_13_length_366483_cov_21.8055_ID_25-processed-gene-2.150&CDS=1-1713, snap_masked-NODE_13_length_366483_cov_21.8055_ID_25-processed-gene-2.79-mRNA-1_1&gene=snap_masked-NODE_13_length_366483_cov_21.8055_ID_25-processed-gene-2.79&CDS=1-1581, snap_masked-NODE_45_length_56988_cov_21.7162_ID_89-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_45_length_56988_cov_21.7162_ID_89-processed-gene-0.25&CDS=1-1692, snap_masked-NODE_4_length_673627_cov_21.8364_ID_7-processed-gene-5.182-mRNA-1_1&gene=snap_masked-NODE_4_length_673627_cov_21.8364_ID_7-processed-gene-5.182&CDS=1-1572
3	OG0000003	YBR043C, YOR306C	augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-2.182-mRNA-1_1&gene=augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-2.182&CDS=1-1335, augustus_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-3.15&CDS=1-3993, maker-NODE_12_length_407314_cov_21.4108_ID_23-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_12_length_407314_cov_21.4108_ID_23-augustus-gene-0.51&CDS=1-1416, maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-2.195-mRNA-1_1&gene=maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-2.195&CDS=1-1335, maker-NODE_20_length_323102_cov_21.8934_ID_39-snap-gene-1.163-mRNA-1_1&gene=maker-NODE_20_length_323102_cov_21.8934_ID_39-snap-gene-1.163&CDS=1-1347, maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.17&CDS=1-1278, maker-NODE_5_length_616858_cov_21.8676_ID_9-snap-gene-2.134-mRNA-1_1&gene=maker-NODE_5_length_616858_cov_21.8676_ID_9-snap-gene-2.134&CDS=1-1455, maker-NODE_65_length_5476_cov_28.1858_ID_129-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_65_length_5476_cov_28.1858_ID_129-snap-gene-0.9&CDS=1-1455, snap_masked-NODE_40_length_82193_cov_22.0704_ID_79-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_40_length_82193_cov_22.0704_ID_79-processed-gene-0.88&CDS=1-1392, snap_masked-NODE_57_length_14472_cov_21.0481_ID_113-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_57_length_14472_cov_21.0481_ID_113-processed-gene-0.4&CDS=1-1377, snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-4.163-mRNA-1_1&gene=snap_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-4.163&CDS=1-1383, snap_masked-NODE_8_length_529058_cov_21.6031_ID_15-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_8_length_529058_cov_21.6031_ID_15-processed-gene-2.72&CDS=1-1362
4	OG0000004	YCR028C	maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-1.58-mRNA-1_1&gene=maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-1.58&CDS=1-1560, maker-NODE_14_length_355574_cov_21.8046_ID_27-snap-gene-2.137-mRNA-1_1&gene=maker-NODE_14_length_355574_cov_21.8046_ID_27-snap-gene-2.137&CDS=1-1830, maker-NODE_19_length_326145_cov_21.5349_ID_37-snap-gene-1.100-mRNA-1_1&gene=maker-NODE_19_length_326145_cov_21.5349_ID_37-snap-gene-1.100&CDS=1-2922, maker-NODE_23_length_242483_cov_21.5341_ID_45-snap-gene-1.150-mRNA-1_1&gene=maker-NODE_23_length_242483_cov_21.5341_ID_45-snap-gene-1.150&CDS=1-1767, maker-NODE_25_length_189752_cov_21.6608_ID_49-snap-gene-0.344-mRNA-1_1&gene=maker-NODE_25_length_189752_cov_21.6608_ID_49-snap-gene-0.344&CDS=1-1638, maker-NODE_31_length_123011_cov_21.5885_ID_61-snap-gene-0.90-mRNA-1_1&gene=maker-NODE_31_length_123011_cov_21.5885_ID_61-snap-gene-0.90&CDS=1-1584, maker-NODE_3_length_834750_cov_21.9249_ID_5-snap-gene-6.68-mRNA-1_1&gene=maker-NODE_3_length_834750_cov_21.9249_ID_5-snap-gene-6.68&CDS=1-1587, maker-NODE_53_length_28511_cov_21.5545_ID_105-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_53_length_28511_cov_21.5545_ID_105-snap-gene-0.2&CDS=1-1617, snap_masked-NODE_23_length_242483_cov_21.5341_ID_45-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_23_length_242483_cov_21.5341_ID_45-processed-gene-0.95&CDS=1-1701, snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-5.77-mRNA-1_1&gene=snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-5.77&CDS=1-1581, snap_masked-NODE_30_length_129671_cov_21.4126_ID_59-processed-gene-0.216-mRNA-1_1&gene=snap_masked-NODE_30_length_129671_cov_21.4126_ID_59-processed-gene-0.216&CDS=1-1551, snap_masked-NODE_48_length_47716_cov_22.4104_ID_95-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_48_length_47716_cov_22.4104_ID_95-processed-gene-0.4&CDS=1-1590
5	OG0000005	YKL055C	augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-2.0&CDS=1-795, maker-NODE_10_length_498242_cov_21.6041_ID_19-augustus-gene-3.102-mRNA-1_1&gene=maker-NODE_10_length_498242_cov_21.6041_ID_19-augustus-gene-3.102&CDS=1-756, maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-0.13-mRNA-1_1&gene=maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-0.13&CDS=1-822, snap_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-1.180-mRNA-1_1&gene=snap_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-1.180&CDS=1-738, snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.22-mRNA-1_1&gene=snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.22&CDS=1-777, snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.47-mRNA-1_1&gene=snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.47&CDS=1-780, snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-6.48&CDS=1-780, snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-7.18-mRNA-1_1&gene=snap_masked-NODE_1_length_933472_cov_21.5653_ID_1-processed-gene-7.18&CDS=1-813, snap_masked-NODE_43_length_61133_cov_21.7677_ID_85-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_43_length_61133_cov_21.7677_ID_85-processed-gene-0.20&CDS=1-759, snap_masked-NODE_55_length_26551_cov_20.8021_ID_109-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_55_length_26551_cov_20.8021_ID_109-processed-gene-0.11&CDS=1-777, snap_masked-NODE_55_length_26551_cov_20.8021_ID_109-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_55_length_26551_cov_20.8021_ID_109-processed-gene-0.18&CDS=1-831, snap_masked-NODE_9_length_509433_cov_21.618_ID_17-processed-gene-4.110-mRNA-1_1&gene=snap_masked-NODE_9_length_509433_cov_21.618_ID_17-processed-gene-4.110&CDS=1-777
6	OG0000006	YDL170W, YML099C	augustus_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-4.131&CDS=1-1299, maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-2.179-mRNA-1_1&gene=maker-NODE_13_length_366483_cov_21.8055_ID_25-snap-gene-2.179&CDS=1-2670, maker-NODE_6_length_613558_cov_21.9661_ID_11-snap-gene-0.147-mRNA-1_1&gene=maker-NODE_6_length_613558_cov_21.9661_ID_11-snap-gene-0.147&CDS=1-2325, snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-2.33&CDS=1-1539, snap_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-2.146-mRNA-1_1&gene=snap_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-2.146&CDS=1-1740, snap_masked-NODE_24_length_208133_cov_21.6284_ID_47-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_24_length_208133_cov_21.6284_ID_47-processed-gene-0.61&CDS=1-759, snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-4.19&CDS=1-2502, snap_masked-NODE_45_length_56988_cov_21.7162_ID_89-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_45_length_56988_cov_21.7162_ID_89-processed-gene-0.15&CDS=1-2154, snap_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NODE_6_length_613558_cov_21.9661_ID_11-processed-gene-3.34&CDS=1-882
7	OG0000007	YBL042C, YBR021W, YIR028W	augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-0.111&CDS=1-1707, maker-NODE_18_length_332278_cov_21.6718_ID_35-augustus-gene-1.138-mRNA-1_1&gene=maker-NODE_18_length_332278_cov_21.6718_ID_35-augustus-gene-1.138&CDS=1-1656, maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.30-mRNA-1_1&gene=maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.30&CDS=1-3264, maker-NODE_37_length_83734_cov_21.3977_ID_73-augustus-gene-0.120-mRNA-1_1&gene=maker-NODE_37_length_83734_cov_21.3977_ID_73-augustus-gene-0.120&CDS=1-1653, maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-0.95-mRNA-1_1&gene=maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-0.95&CDS=1-1611, snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-5.53-mRNA-1_1&gene=snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-5.53&CDS=1-1680, snap_masked-NODE_43_length_61133_cov_21.7677_ID_85-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_43_length_61133_cov_21.7677_ID_85-processed-gene-0.8&CDS=1-1692
8	OG0000008	YGR260W	augustus_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_19_length_326145_cov_21.5349_ID_37-processed-gene-0.40&CDS=1-1491, augustus_masked-NODE_31_length_123011_cov_21.5885_ID_61-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_31_length_123011_cov_21.5885_ID_61-processed-gene-0.32&CDS=1-1437, augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.78&CDS=1-1527, maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-1.54-mRNA-1_1&gene=maker-NODE_10_length_498242_cov_21.6041_ID_19-snap-gene-1.54&CDS=1-1572, maker-NODE_12_length_407314_cov_21.4108_ID_23-snap-gene-1.110-mRNA-1_1&gene=maker-NODE_12_length_407314_cov_21.4108_ID_23-snap-gene-1.110&CDS=1-1524, maker-NODE_14_length_355574_cov_21.8046_ID_27-snap-gene-0.92-mRNA-1_1&gene=maker-NODE_14_length_355574_cov_21.8046_ID_27-snap-gene-0.92&CDS=1-1524, maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.15&CDS=1-1458, maker-NODE_2_length_891861_cov_21.8302_ID_3-snap-gene-3.80-mRNA-1_1&gene=maker-NODE_2_length_891861_cov_21.8302_ID_3-snap-gene-3.80&CDS=1-1662, snap_masked-NODE_63_length_7338_cov_25.9189_ID_125-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_63_length_7338_cov_25.9189_ID_125-processed-gene-0.5&CDS=1-1098
9	OG0000009		augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_15_length_346321_cov_21.575_ID_29-processed-gene-0.140&CDS=1-2268, augustus_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_22_length_243706_cov_21.8632_ID_43-processed-gene-0.1&CDS=1-2337, augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_7_length_563888_cov_21.4671_ID_13-processed-gene-0.95&CDS=1-2142, maker-NODE_17_length_337742_cov_21.7864_ID_33-snap-gene-2.30-mRNA-1_1&gene=maker-NODE_17_length_337742_cov_21.7864_ID_33-snap-gene-2.30&CDS=1-2133, maker-NODE_19_length_326145_cov_21.5349_ID_37-snap-gene-2.78-mRNA-1_1&gene=maker-NODE_19_length_326145_cov_21.5349_ID_37-snap-gene-2.78&CDS=1-2169, maker-NODE_1_length_933472_cov_21.5653_ID_1-snap-gene-0.59-mRNA-1_1&gene=maker-NODE_1_length_933472_cov_21.5653_ID_1-snap-gene-0.59&CDS=1-2658, maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_26_length_163505_cov_21.761_ID_51-snap-gene-0.19&CDS=1-2871, maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-1.61-mRNA-1_1&gene=maker-NODE_4_length_673627_cov_21.8364_ID_7-snap-gene-1.61&CDS=1-3210, snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_10_length_498242_cov_21.6041_ID_19-processed-gene-0.44&CDS=1-2307, snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NODE_2_length_891861_cov_21.8302_ID_3-processed-gene-6.59&CDS=1-2160
