	OrthologID	Lachancea_dasiensis	Saccharomyces_cerevisiae
0	OG0000000	snap_masked-LADA0F-processed-gene-14.44-mRNA-1_1&gene=snap_masked-LADA0F-processed-gene-14.44&CDS=1-576, snap_masked-LADA0G-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-0.20&CDS=1-405	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
1	OG0000001		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
2	OG0000002	genemark-LADA0B-processed-gene-9.200-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.200&CDS=1-1683, genemark-LADA0F-processed-gene-11.104-mRNA-1_1&gene=genemark-LADA0F-processed-gene-11.104&CDS=1-1713, genemark-LADA0F-processed-gene-11.119-mRNA-1_1&gene=genemark-LADA0F-processed-gene-11.119&CDS=1-1728	YDR342C, YDR343C, YFL011W, YHR092C, YHR096C, YMR011W
3	OG0000003	augustus_masked-LADA0H-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-8.40&CDS=1-2064, genemark-LADA0E-processed-gene-7.44-mRNA-1_1&gene=genemark-LADA0E-processed-gene-7.44&CDS=1-2043, genemark-LADA0F-processed-gene-9.2-mRNA-1_1&gene=genemark-LADA0F-processed-gene-9.2&CDS=1-1923, genemark-LADA0G-processed-gene-6.74-mRNA-1_1&gene=genemark-LADA0G-processed-gene-6.74&CDS=1-1839	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W
4	OG0000004	genemark-LADA0A-processed-gene-1.29-mRNA-1_1&gene=genemark-LADA0A-processed-gene-1.29&CDS=1-3306, genemark-LADA0A-processed-gene-3.0-mRNA-1_1&gene=genemark-LADA0A-processed-gene-3.0&CDS=1-2313, genemark-LADA0B-processed-gene-5.4-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.4&CDS=1-3312, maker-LADA0B-augustus-gene-5.97-mRNA-1_1&gene=maker-LADA0B-augustus-gene-5.97&CDS=1-3678	YER013W, YGL120C, YKR086W, YNR011C
5	OG0000005	augustus_masked-LADA0A-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-2.154&CDS=1-687, snap_masked-LADA0B-processed-gene-4.123-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.123&CDS=1-681	YAR023C, YAR027W, YAR028W, YCR007C, YGL053W, YHL044W
6	OG0000006	genemark-LADA0D-processed-gene-4.18-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.18&CDS=1-1233, genemark-LADA0E-processed-gene-8.98-mRNA-1_1&gene=genemark-LADA0E-processed-gene-8.98&CDS=1-1170, genemark-LADA0F-processed-gene-1.36-mRNA-1_1&gene=genemark-LADA0F-processed-gene-1.36&CDS=1-1197, maker-LADA0D-augustus-gene-5.148-mRNA-1_1&gene=maker-LADA0D-augustus-gene-5.148&CDS=1-2235	YBR155W, YBR205W, YDR483W, YOR099W
7	OG0000007	augustus_masked-LADA0G-processed-gene-14.165-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-14.165&CDS=1-1782, genemark-LADA0C-processed-gene-0.2-mRNA-1_1&gene=genemark-LADA0C-processed-gene-0.2&CDS=1-1719, genemark-LADA0E-processed-gene-0.88-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.88&CDS=1-1833, genemark-LADA0H-processed-gene-4.98-mRNA-1_1&gene=genemark-LADA0H-processed-gene-4.98&CDS=1-1821	YBR298C, YDL247W, YJR160C
8	OG0000008	augustus_masked-LADA0C-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-10.140&CDS=1-2028, genemark-LADA0D-processed-gene-1.47-mRNA-1_1&gene=genemark-LADA0D-processed-gene-1.47&CDS=1-2034	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
9	OG0000009	augustus_masked-LADA0H-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-1.33&CDS=1-3624, genemark-LADA0D-processed-gene-11.5-mRNA-1_1&gene=genemark-LADA0D-processed-gene-11.5&CDS=1-1773, genemark-LADA0F-processed-gene-14.99-mRNA-1_1&gene=genemark-LADA0F-processed-gene-14.99&CDS=1-1776	YBR068C, YCL025C, YDR508C, YKR039W
