	OrthologID	Brettanomyces_anomalus	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-LCTY01000002.1-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-10.82&CDS=1-687, augustus_masked-LCTY01000002.1-processed-gene-11.138-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-11.138&CDS=1-1416, augustus_masked-LCTY01000003.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.104&CDS=1-2103, augustus_masked-LCTY01000007.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.60&CDS=1-1347, augustus_masked-LCTY01000009.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.62&CDS=1-1983, augustus_masked-LCTY01000010.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-LCTY01000010.1-processed-gene-4.41&CDS=1-2985, augustus_masked-LCTY01000012.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.78&CDS=1-1302, snap_masked-LCTY01000004.1-processed-gene-10.37-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-10.37&CDS=1-1962	YBR240C, YDL170W, YDR207C
1	OG0000001	augustus_masked-LCTY01000005.1-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-11.67&CDS=1-1692, maker-LCTY01000005.1-snap-gene-11.108-mRNA-1_1&gene=maker-LCTY01000005.1-snap-gene-11.108&CDS=1-1740, snap_masked-LCTY01000009.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-2.72&CDS=1-1587	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C
2	OG0000002	augustus_masked-LCTY01000005.1-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-12.56&CDS=1-1788, snap_masked-LCTY01000005.1-processed-gene-14.190-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-14.190&CDS=1-2604	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
3	OG0000003	augustus_masked-LCTY01000002.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-6.81&CDS=1-3111, augustus_masked-LCTY01000004.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.59&CDS=1-2511, augustus_masked-LCTY01000011.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-LCTY01000011.1-processed-gene-3.7&CDS=1-3666, augustus_masked-LCTY01000012.1-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.101&CDS=1-5751	YAL051W, YCR106W, YOR363C
4	OG0000004	augustus_masked-LCTY01000016.1-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.182&CDS=1-1671, augustus_masked-LCTY01000016.1-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.183&CDS=1-1695, snap_masked-LCTY01000017.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.52&CDS=1-1644	YCL069W, YGR224W, YKR105C, YPR198W
5	OG0000005	augustus_masked-LCTY01000001.1-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.53&CDS=1-1779, augustus_masked-LCTY01000006.1-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-7.116&CDS=1-1758	YGR287C, YIL172C, YJL221C, YOL157C
6	OG0000006	augustus_masked-LCTY01000006.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-3.84&CDS=1-1113, augustus_masked-LCTY01000012.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.85&CDS=1-1053, genemark-LCTY01000001.1-processed-gene-14.1-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-14.1&CDS=1-1098	YMR083W, YMR303C, YOL086C
7	OG0000007	snap_masked-LCTY01000005.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-7.48&CDS=1-2103	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
8	OG0000008	augustus_masked-LCTY01000007.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.65&CDS=1-2013, augustus_masked-LCTY01000010.1-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-LCTY01000010.1-processed-gene-4.40&CDS=1-1623, maker-LCTY01000008.1-snap-gene-0.117-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-0.117&CDS=1-624	YER028C, YGL209W, YMR182C
9	OG0000009	augustus_masked-LCTY01000012.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.79&CDS=1-1794, snap_masked-LCTY01000014.1-processed-gene-2.182-mRNA-1_1&gene=snap_masked-LCTY01000014.1-processed-gene-2.182&CDS=1-393	YDL048C, YDR463W, YHR006W, YLR375W
10	OG0000010	augustus_masked-LCTY01000012.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.103&CDS=1-1206	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
11	OG0000011	genemark-LCTY01000014.1-processed-gene-2.51-mRNA-1_1&gene=genemark-LCTY01000014.1-processed-gene-2.51&CDS=1-693, snap_masked-LCTY01000017.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.62&CDS=1-294	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
12	OG0000012	augustus_masked-LCTY01000001.1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.132&CDS=1-1533, augustus_masked-LCTY01000004.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-10.64&CDS=1-1623, augustus_masked-LCTY01000004.1-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.59&CDS=1-1674, augustus_masked-LCTY01000004.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.62&CDS=1-1623	YKL217W
13	OG0000013	augustus_masked-LCTY01000015.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-1.67&CDS=1-516, snap_masked-LCTY01000001.1-processed-gene-9.49-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-9.49&CDS=1-240	YDR276C, YDR525W-A, YJL151C
14	OG0000014	augustus_masked-LCTY01000001.1-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.35&CDS=1-981, augustus_masked-LCTY01000012.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.142&CDS=1-960	YBL068W, YER099C, YHL011C
15	OG0000015	augustus_masked-LCTY01000008.1-processed-gene-4.226-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.226&CDS=1-1560, snap_masked-LCTY01000001.1-processed-gene-17.207-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-17.207&CDS=1-1554	YER056C, YER060W, YER060W-A
16	OG0000016	augustus_masked-LCTY01000002.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-4.67&CDS=1-1533, augustus_masked-LCTY01000003.1-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.114&CDS=1-1485, augustus_masked-LCTY01000005.1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-11.61&CDS=1-1545, snap_masked-LCTY01000008.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-4.122&CDS=1-1419	YOL119C
17	OG0000017	augustus_masked-LCTY01000002.1-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.68&CDS=1-1005, snap_masked-LCTY01000005.1-processed-gene-1.108-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-1.108&CDS=1-1065	YGR192C, YJL052W, YJR009C
18	OG0000018	augustus_masked-LCTY01000002.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.81&CDS=1-654, augustus_masked-LCTY01000003.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-7.65&CDS=1-558, augustus_masked-LCTY01000005.1-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-12.41&CDS=1-549	YBR164C, YMR138W
19	OG0000019	augustus_masked-LCTY01000002.1-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-11.110&CDS=1-786, augustus_masked-LCTY01000007.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.83&CDS=1-750	YGR152C, YNL098C, YOR101W
20	OG0000020	augustus_masked-LCTY01000003.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.103&CDS=1-1758, augustus_masked-LCTY01000013.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-1.55&CDS=1-1761, snap_masked-LCTY01000017.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.74&CDS=1-1806	YJL172W, YOL153C
21	OG0000021	augustus_masked-LCTY01000004.1-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-9.139&CDS=1-549, maker-LCTY01000003.1-augustus-gene-5.75-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-5.75&CDS=1-483, snap_masked-LCTY01000011.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LCTY01000011.1-processed-gene-0.39&CDS=1-1134	YDR155C, YLR216C
22	OG0000022	augustus_masked-LCTY01000003.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-7.43&CDS=1-3468, augustus_masked-LCTY01000008.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-1.48&CDS=1-2148	YNL106C, YOL065C, YOR109W
23	OG0000023	augustus_masked-LCTY01000004.1-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-9.127&CDS=1-1755, augustus_masked-LCTY01000014.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.78&CDS=1-1812, genemark-LCTY01000004.1-processed-gene-7.33-mRNA-1_1&gene=genemark-LCTY01000004.1-processed-gene-7.33&CDS=1-1770, snap_masked-LCTY01000009.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-3.83&CDS=1-1761	YKR039W
24	OG0000024	augustus_masked-LCTY01000005.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-0.21&CDS=1-273, augustus_masked-LCTY01000006.1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-2.59&CDS=1-1347	YBR089C-A, YDL002C, YPR052C
25	OG0000025	augustus_masked-LCTY01000005.1-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-10.124&CDS=1-1566	YBR297W, YFL052W, YGR288W, YPR196W
26	OG0000026	augustus_masked-LCTY01000005.1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-13.23&CDS=1-1740, augustus_masked-LCTY01000012.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.111&CDS=1-1779, snap_masked-LCTY01000012.1-processed-gene-2.227-mRNA-1_1&gene=snap_masked-LCTY01000012.1-processed-gene-2.227&CDS=1-1767	YBR021W, YIR028W
27	OG0000027	snap_masked-LCTY01000006.1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-LCTY01000006.1-processed-gene-6.7&CDS=1-4599	YBL017C, YIL173W, YJL222W, YNR065C
