	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035650_Trigonopsis_variabilis
0	OG0000000	YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YNR072W, YOL156W	augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.45&CDS=1-1617, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.151&CDS=1-1656
1	OG0000001	YDR242W, YMR293C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.131&CDS=1-1641, augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.18&CDS=1-1644, augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.38&CDS=1-1650, augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.18&CDS=1-1653, augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.17&CDS=1-1599, augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.25&CDS=1-1593, augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-0.125&CDS=1-1656, genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.178-mRNA-1_1&gene=genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.178&CDS=1-1656, maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-2.181-mRNA-1_1&gene=maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-2.181&CDS=1-1626, maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-4.60-mRNA-1_1&gene=maker-NODE_11_length_507231_cov_47.8977_ID_2584-augustus-gene-4.60&CDS=1-1713, maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-2.12-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-2.12&CDS=1-2994, maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-0.94-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-0.94&CDS=1-1467, maker-NODE_5_length_1057822_cov_57.0665_ID_1593-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-snap-gene-0.57&CDS=1-3144
2	OG0000002	YNL202W	augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.47&CDS=1-759, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.84&CDS=1-723, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.58&CDS=1-831, augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.48&CDS=1-759, augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-0.74&CDS=1-831, genemark-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.63&CDS=1-930, maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-3.102-mRNA-1_1&gene=maker-NODE_10_length_526852_cov_45.8755_ID_2249-augustus-gene-3.102&CDS=1-762, maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-0.57&CDS=1-1473, maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-5.156-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-5.156&CDS=1-870, maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-4.54-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-4.54&CDS=1-774, snap_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.77&CDS=1-792
3	OG0000003	YAL067C, YCR028C	augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.128&CDS=1-1485, augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.210&CDS=1-1575, augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.45&CDS=1-1590, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.134&CDS=1-1551, augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.72&CDS=1-1689, augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.6&CDS=1-1518, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-5.121&CDS=1-1629, maker-NODE_13_length_165356_cov_55.7185_ID_2324-augustus-gene-0.19-mRNA-1_1&gene=maker-NODE_13_length_165356_cov_55.7185_ID_2324-augustus-gene-0.19&CDS=1-1500
4	OG0000004		augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.20&CDS=1-3318, augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.46&CDS=1-2922, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.101&CDS=1-1761, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.69&CDS=1-405, augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.70&CDS=1-3654, augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.122&CDS=1-819, augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.158&CDS=1-669, snap_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.157&CDS=1-1098, snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.181-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.181&CDS=1-3735, snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.135-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.135&CDS=1-4791
5	OG0000005	YDR536W, YFL040W	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.133&CDS=1-1941, augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-2.64&CDS=1-1524, augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.114&CDS=1-1602, augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.241-mRNA-1_1&gene=augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.241&CDS=1-1602, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.161-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.161&CDS=1-1623, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-13.76-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-13.76&CDS=1-1563, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.126&CDS=1-1575
6	OG0000006	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.17&CDS=1-1497, augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-7.136&CDS=1-1740, genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-1.135-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-1.135&CDS=1-1452, maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-4.88-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-4.88&CDS=1-2274
7	OG0000007	YDL134C, YDL188C, YDR075W, YNR032W	genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-0.57&CDS=1-978, genemark-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.113&CDS=1-1071, snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.116&CDS=1-1056
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.252-mRNA-1_1&gene=augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.252&CDS=1-1008, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-11.2-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-11.2&CDS=1-999, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-11.3-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-11.3&CDS=1-999
9	OG0000009	YGR260W	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-4.121&CDS=1-1449, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.25&CDS=1-1569, augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.74&CDS=1-1548, maker-NODE_13_length_165356_cov_55.7185_ID_2324-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_13_length_165356_cov_55.7185_ID_2324-augustus-gene-0.6&CDS=1-1488, maker-NODE_1_length_1864488_cov_47.4331_ID_2849-snap-gene-1.5-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-snap-gene-1.5&CDS=1-2919, maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-0.54-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-0.54&CDS=1-1494
