	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034901_Ogataea_methylivora
0	OG0000000		augustus_masked-flattened_line_2-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.40&CDS=1-2724, augustus_masked-flattened_line_50-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.55&CDS=1-2871, augustus_masked-flattened_line_56-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.75&CDS=1-5589, augustus_masked-flattened_line_64-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.58&CDS=1-3150, genemark-flattened_line_1-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-0.46&CDS=1-1983, genemark-flattened_line_50-processed-gene-0.189-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.189&CDS=1-3003, snap_masked-flattened_line_1-processed-gene-5.83-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.83&CDS=1-2004, snap_masked-flattened_line_126-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.60&CDS=1-3537, snap_masked-flattened_line_78-processed-gene-0.187-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.187&CDS=1-2367, snap_masked-flattened_line_78-processed-gene-0.188-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.188&CDS=1-2460
1	OG0000001	YCL075W	augustus_masked-flattened_line_2-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.101&CDS=1-966, augustus_masked-flattened_line_34-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.92&CDS=1-558, augustus_masked-flattened_line_4-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.139&CDS=1-555, augustus_masked-flattened_line_56-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.20&CDS=1-507, snap_masked-flattened_line_112-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.2&CDS=1-654, snap_masked-flattened_line_114-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.21&CDS=1-312, snap_masked-flattened_line_158-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.2&CDS=1-2259, snap_masked-flattened_line_2-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.38&CDS=1-1833
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_8-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.68&CDS=1-1767
3	OG0000003	YDL037C, YIR019C	augustus_masked-flattened_line_191-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_191-processed-gene-0.2&CDS=1-1047, augustus_masked-flattened_line_201-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_201-processed-gene-0.0&CDS=1-756, augustus_masked-flattened_line_257-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_257-processed-gene-0.0&CDS=1-336, augustus_masked-flattened_line_297-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_297-processed-gene-0.2&CDS=1-249, genemark-flattened_line_181-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_181-processed-gene-0.1&CDS=1-1716
4	OG0000004	YML116W, YMR279C, YOR378W	genemark-flattened_line_16-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.108&CDS=1-1716, genemark-flattened_line_2-processed-gene-4.145-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.145&CDS=1-1581, genemark-flattened_line_34-processed-gene-1.142-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.142&CDS=1-1698, genemark-flattened_line_56-processed-gene-0.169-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.169&CDS=1-5784
5	OG0000005	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_110-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.50&CDS=1-1377
7	OG0000007	YBR183W, YPL087W	genemark-flattened_line_0-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.86&CDS=1-849, genemark-flattened_line_0-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.87&CDS=1-936, genemark-flattened_line_0-processed-gene-11.185-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.185&CDS=1-936, genemark-flattened_line_0-processed-gene-11.186-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.186&CDS=1-849
8	OG0000008	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-flattened_line_4-processed-gene-3.119-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.119&CDS=1-1644
9	OG0000009	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C	augustus_masked-flattened_line_88-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.165&CDS=1-738
