	OrthologID	Saccharomyces_cerevisiae	yHAB155_Kazachstania_spencerorum
0	OG0000000	YAR010C, YBR012W-A, YDR098C-A, YDR210C-C, YDR261C-C, YDR316W-A, YDR365W-A, YDR365W-B, YER137C-A, YER159C-A, YGR027W-A, YGR038C-A, YGR161C-C, YLR157C-A, YML045W-A, YMR051C, YOL103W-A, YOR142W-A, YPL257W-A, YPR137C-A, YPR158C-C, YPR158W-A	augustus_masked-scf7180000055538-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055538-processed-gene-0.4&CDS=1-1821, augustus_masked-scf7180000055639-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-2.120&CDS=1-639, snap_masked-scf7180000055580-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scf7180000055580-processed-gene-0.43&CDS=1-1629
1	OG0000001		augustus_masked-scf7180000053691-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053691-processed-gene-0.0&CDS=1-1845, augustus_masked-scf7180000053700-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053700-processed-gene-0.0&CDS=1-1944, augustus_masked-scf7180000053710-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053710-processed-gene-0.3&CDS=1-867, augustus_masked-scf7180000055332-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055332-processed-gene-0.0&CDS=1-420, augustus_masked-scf7180000055376-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055376-processed-gene-0.2&CDS=1-2832, augustus_masked-scf7180000055379-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055379-processed-gene-0.0&CDS=1-2508, augustus_masked-scf7180000055428-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055428-processed-gene-0.2&CDS=1-2610, augustus_masked-scf7180000055454-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055454-processed-gene-0.2&CDS=1-3423, augustus_masked-scf7180000055511-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055511-processed-gene-0.0&CDS=1-1680, augustus_masked-scf7180000055515-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055515-processed-gene-0.2&CDS=1-1995, augustus_masked-scf7180000055565-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055565-processed-gene-0.6&CDS=1-861, augustus_masked-scf7180000055592-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000055592-processed-gene-0.16&CDS=1-1743, augustus_masked-scf7180000055626-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000055626-processed-gene-0.86&CDS=1-3069, augustus_masked-scf7180000055629-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055629-processed-gene-0.0&CDS=1-3333, augustus_masked-scf7180000055670-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055670-processed-gene-0.4&CDS=1-2862, genemark-scf7180000055598-processed-gene-0.187-mRNA-1_1&gene=genemark-scf7180000055598-processed-gene-0.187&CDS=1-5472, maker-scf7180000055666-snap-gene-0.56-mRNA-1_1&gene=maker-scf7180000055666-snap-gene-0.56&CDS=1-879, snap_masked-scf7180000053692-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000053692-processed-gene-0.2&CDS=1-1800, snap_masked-scf7180000053702-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053702-processed-gene-0.1&CDS=1-408, snap_masked-scf7180000055150-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055150-processed-gene-0.1&CDS=1-1026, snap_masked-scf7180000055375-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055375-processed-gene-0.1&CDS=1-1365, snap_masked-scf7180000055424-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055424-processed-gene-0.1&CDS=1-2112, snap_masked-scf7180000055427-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055427-processed-gene-0.2&CDS=1-3312, snap_masked-scf7180000055544-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055544-processed-gene-0.1&CDS=1-4029, snap_masked-scf7180000055607-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-0.26&CDS=1-1290
2	OG0000002	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
3	OG0000003	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YBR302C, YCR007C, YGL051W, YGL053W, YHL044W, YML132W	snap_masked-scf7180000055591-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000055591-processed-gene-0.38&CDS=1-807
4	OG0000004	YJL105W	augustus_masked-scf7180000055531-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000055531-processed-gene-0.23&CDS=1-2523, augustus_masked-scf7180000055542-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000055542-processed-gene-0.69&CDS=1-795, augustus_masked-scf7180000055618-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-scf7180000055618-processed-gene-1.11&CDS=1-2502, augustus_masked-scf7180000055655-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000055655-processed-gene-0.116&CDS=1-2292, augustus_masked-scf7180000055665-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055665-processed-gene-0.2&CDS=1-2160, snap_masked-scf7180000053659-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000053659-processed-gene-0.4&CDS=1-213, snap_masked-scf7180000054692-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000054692-processed-gene-0.0&CDS=1-213, snap_masked-scf7180000055419-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000055419-processed-gene-0.21&CDS=1-1863, snap_masked-scf7180000055562-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scf7180000055562-processed-gene-0.51&CDS=1-2379, snap_masked-scf7180000055594-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000055594-processed-gene-0.48&CDS=1-813, snap_masked-scf7180000055650-processed-gene-1.186-mRNA-1_1&gene=snap_masked-scf7180000055650-processed-gene-1.186&CDS=1-2442
5	OG0000005		augustus_masked-scf7180000055639-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-1.59&CDS=1-1965, augustus_masked-scf7180000055639-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-scf7180000055639-processed-gene-1.69&CDS=1-390, augustus_masked-scf7180000055673-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-scf7180000055673-processed-gene-1.52&CDS=1-2247, maker-scf7180000055625-snap-gene-0.178-mRNA-1_1&gene=maker-scf7180000055625-snap-gene-0.178&CDS=1-4599, snap_masked-scf7180000055230-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055230-processed-gene-0.0&CDS=1-318, snap_masked-scf7180000055607-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-0.31&CDS=1-180, snap_masked-scf7180000055607-processed-gene-1.171-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-1.171&CDS=1-303, snap_masked-scf7180000055607-processed-gene-1.172-mRNA-1_1&gene=snap_masked-scf7180000055607-processed-gene-1.172&CDS=1-291, snap_masked-scf7180000055621-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000055621-processed-gene-0.28&CDS=1-333, snap_masked-scf7180000055663-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000055663-processed-gene-0.99&CDS=1-1554, snap_masked-scf7180000055668-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000055668-processed-gene-0.52&CDS=1-717
6	OG0000006	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-scf7180000055576-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000055576-processed-gene-0.13&CDS=1-1416, genemark-scf7180000055598-processed-gene-0.189-mRNA-1_1&gene=genemark-scf7180000055598-processed-gene-0.189&CDS=1-1416, genemark-scf7180000055599-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000055599-processed-gene-0.8&CDS=1-1416, snap_masked-scf7180000055560-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000055560-processed-gene-0.27&CDS=1-1440
8	OG0000008	YBR030W, YBR031W, YDR012W	augustus_masked-scf7180000053817-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053817-processed-gene-0.0&CDS=1-1098, augustus_masked-scf7180000053817-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053817-processed-gene-0.1&CDS=1-1683, augustus_masked-scf7180000055573-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000055573-processed-gene-0.31&CDS=1-2796, augustus_masked-scf7180000055649-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000055649-processed-gene-0.41&CDS=1-2796
9	OG0000009	YGR161C	augustus_masked-scf7180000055425-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055425-processed-gene-0.0&CDS=1-1794, augustus_masked-scf7180000055594-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-scf7180000055594-processed-gene-1.129&CDS=1-1578, augustus_masked-scf7180000055668-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scf7180000055668-processed-gene-0.106&CDS=1-255, snap_masked-scf7180000055594-processed-gene-0.84-mRNA-1_1&gene=snap_masked-scf7180000055594-processed-gene-0.84&CDS=1-372, snap_masked-scf7180000055615-processed-gene-0.180-mRNA-1_1&gene=snap_masked-scf7180000055615-processed-gene-0.180&CDS=1-201, snap_masked-scf7180000055668-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000055668-processed-gene-0.53&CDS=1-420
10	OG0000010	YLR010C	augustus_masked-scf7180000055460-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000055460-processed-gene-0.9&CDS=1-873, maker-scf7180000055621-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000055621-snap-gene-0.3&CDS=1-216, snap_masked-scf7180000055377-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055377-processed-gene-0.2&CDS=1-210, snap_masked-scf7180000055589-processed-gene-0.68-mRNA-1_1&gene=snap_masked-scf7180000055589-processed-gene-0.68&CDS=1-471, snap_masked-scf7180000055618-processed-gene-2.193-mRNA-1_1&gene=snap_masked-scf7180000055618-processed-gene-2.193&CDS=1-1137, snap_masked-scf7180000055640-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scf7180000055640-processed-gene-0.51&CDS=1-1500
