"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YPR110C"	"6eu3@C@0"	1	335	1	335	"dN_dS_max_gap_ratio_0.7"	"No interesting sites or related Ortholog groups!"
"YJR145C"	"6fai@E@1"	1	260	2	261	"dN_dS_max_gap_ratio_0.7"	NA
"YIL065C"	"3uux@A@2"	1	127	3	129	"dN_dS_max_gap_ratio_0.7"	NA
"YER151C"	"2qiy@C@3"	1	25	206	230	"dN_dS_max_gap_ratio_0.7"	NA
"YER151C"	"2qiy@D@4"	1	25	206	230	"dN_dS_max_gap_ratio_0.7"	NA
"YLR441C"	"6fai@B@5"	1	214	20	233	"dN_dS_max_gap_ratio_0.7"	NA
"YLR287C-A"	"6eml@g@6"	1	60	2	61	"dN_dS_max_gap_ratio_0.7"	NA
"YKL156W"	"6fai@b@7"	1	81	2	82	"dN_dS_max_gap_ratio_0.7"	NA
"YGL189C"	"5ll6@e@8"	1	97	2	98	"dN_dS_max_gap_ratio_0.7"	NA
"YGR027C"	"6eml@K@9"	1	64	42	105	"dN_dS_max_gap_ratio_0.7"	NA
"YJL190C"	"6fai@W@10"	1	129	2	130	"dN_dS_max_gap_ratio_0.7"	NA
"YOL121C"	"6fai@T@11"	1	143	2	144	"dN_dS_max_gap_ratio_0.7"	NA
"YDR450W"	"6fai@S@12"	1	135	2	136	"dN_dS_max_gap_ratio_0.7"	NA
"YML024W"	"6fai@R@13"	1	125	2	126	"dN_dS_max_gap_ratio_0.7"	NA
"YER106W"	"5ktb@C@14"	1	42	222	263	"dN_dS_max_gap_ratio_0.7"	NA
"YMR143W"	"6eml@F@15"	1	141	3	143	"dN_dS_max_gap_ratio_0.7"	NA
"YOR369C"	"6fai@M@16"	1	125	18	142	"dN_dS_max_gap_ratio_0.7"	NA
"YHR118C"	"5v8f@F@18"	1	15	413	427	"dN_dS_max_gap_ratio_0.7"	NA
"YHR118C"	"5udb@F@19"	1	15	413	427	"dN_dS_max_gap_ratio_0.7"	NA
"YGR195W"	"5c0x@B@20"	1	244	1	244	"dN_dS_max_gap_ratio_0.7"	NA
"YOR294W"	"5a53@A@21"	1	65	9	73	"dN_dS_max_gap_ratio_0.7"	NA
"YOR294W"	"5a53@B@22"	1	22	85	106	"dN_dS_max_gap_ratio_0.7"	NA
"YDR280W"	"5vzj@A@23"	1	302	3	304	"dN_dS_max_gap_ratio_0.7"	NA
"YDR427W"	"3jck@F@24"	1	388	6	393	"dN_dS_max_gap_ratio_0.7"	NA
"YPR108W"	"5wvk-R-bundle1@R@25"	1	400	23	422	"dN_dS_max_gap_ratio_0.7"	NA
"YDL097C"	"5mpd@Q@26"	1	434	1	434	"dN_dS_max_gap_ratio_0.7"	NA
"YLR388W"	"6fai@d@27"	1	37	20	56	"dN_dS_max_gap_ratio_0.7"	NA
"YPR024W"	"2mv3@A@28"	2	81	97	176	"dN_dS_max_gap_ratio_0.7"	NA
"YDL147W"	"5mpd@P@29"	1	440	1	440	"dN_dS_max_gap_ratio_0.7"	NA
"YER021W"	"5mpd@S@30"	1	475	18	492	"dN_dS_max_gap_ratio_0.7"	NA
"YHR027C"	"5wvk-Z-bundle2@Z@31"	1	577	49	625	"dN_dS_max_gap_ratio_0.7"	NA
"YLR421C"	"5mpd@X@32"	1	127	7	133	"dN_dS_max_gap_ratio_0.7"	NA
"YFR052W"	"5wvk-T-bundle1@T@33"	1	272	1	272	"dN_dS_max_gap_ratio_0.7"	NA
"YOR095C"	"1xtz@A@34"	1	240	19	258	"dN_dS_max_gap_ratio_0.7"	NA
"YHR088W"	"6c0f@I@35"	1	288	8	295	"dN_dS_max_gap_ratio_0.7"	NA
"YJL101C"	"3lvv@A@36"	1	672	2	673	"dN_dS_max_gap_ratio_0.7"	NA
"YNR003C"	"6eu1@P@37"	1	151	165	315	"dN_dS_max_gap_ratio_0.7"	NA
"YDR404C"	"4by7@G@38"	1	171	1	171	"dN_dS_max_gap_ratio_0.7"	NA
"YDL140C"	"5vvs@A@39"	1	1455	8	1462	"dN_dS_max_gap_ratio_0.7"	NA
"YPR187W"	"4c2m@F@40"	1	100	55	154	"dN_dS_max_gap_ratio_0.7"	NA
"YPR187W"	"4c2m@U@41"	1	100	55	154	"dN_dS_max_gap_ratio_0.7"	NA
"YBR154C"	"1twf@E@42"	1	215	1	215	"dN_dS_max_gap_ratio_0.7"	NA
"YOR340C"	"4c2m@4@43"	1	54	263	316	"dN_dS_max_gap_ratio_0.7"	NA
"YJL148W"	"5w5y@N@44"	1	158	23	180	"dN_dS_max_gap_ratio_0.7"	NA
"YMR234W"	"1qhk@A@45"	1	47	5	51	"dN_dS_max_gap_ratio_0.7"	NA
"YGL076C"	"6c0f@F@46"	1	242	3	244	"dN_dS_max_gap_ratio_0.7"	NA
"YML073C"	"3jbs@A@47"	1	175	2	176	"dN_dS_max_gap_ratio_0.7"	NA
"YDR012W"	"2ww9@H@48"	1	269	1	269	"dN_dS_max_gap_ratio_0.7"	NA
"YCL031C"	"2mby@A@49"	5	46	256	297	"dN_dS_max_gap_ratio_0.7"	NA
"YLR325C"	"5h4p-k-bundle2@k@50"	1	77	2	78	"dN_dS_max_gap_ratio_0.7"	NA
"YLR185W"	"5h4p-j-bundle2@j@51"	1	87	2	88	"dN_dS_max_gap_ratio_0.7"	NA
"YDL191W"	"5h4p-h-bundle2@h@52"	1	119	2	120	"dN_dS_max_gap_ratio_0.7"	NA
"YOL027C"	"3skq@A@53"	1	227	182	408	"dN_dS_max_gap_ratio_0.7"	NA
