"query_id"	"subject_id"	"perc_identity"	"num_ident_matches"	"alig_length"	"mismatches"	"gap_openings"	"n_gaps"	"pos_match"	"ppos"	"q_start"	"q_end"	"q_len"	"qcov"	"qcovhsp"	"s_start"	"s_end"	"s_len"	"evalue"	"bit_score"	"score_raw"
"3j6b/3j6b-B-bundle1.B"	"YEL050C"	95.16	295	310	0	1	15	295	95.16	1	295	295	100	100	79	388	394	0	591	1523
"3j6b/3j6b-B-bundle1.B"	"YIL018W"	32.16	64	199	107	7	28	100	50.25	73	255	295	62	62	28	214	255	5e-17	76.6	187
"3j6b/3j6b-B-bundle1.B"	"YFR031C-A"	32.16	64	199	107	7	28	100	50.25	73	255	295	62	62	28	214	255	5e-17	76.6	187
"3j6b/3j6b-C-bundle1.C"	"YGR220C"	100	249	249	0	0	0	249	100	1	249	249	100	100	21	269	270	0	517	1331
"3j6b/3j6b-D-bundle1.D"	"YML025C"	95.98	239	249	0	1	10	239	95.98	1	239	239	100	100	31	279	287	4e-174	483	1243
"3j6b/3j6b-E-bundle2.E"	"YDR237W"	100	274	274	0	0	0	274	100	1	274	274	100	100	19	292	293	0	570	1469
"3j6b/3j6b-F-bundle2.F"	"YHR147C"	94.68	178	188	0	5	10	178	94.68	1	178	185	96	96	18	205	215	9e-120	340	872
"3j6b/3j6b-F-bundle2.F"	"YNL067W"	24.42	42	172	105	7	25	81	47.09	34	183	185	81	81	22	190	192	5e-04	37.4	85
"3j6b/3j6b-G-bundle2.G"	"YNR022C"	100	55	55	0	0	0	55	100	1	55	55	100	100	10	64	140	5e-36	118	296
"3j6b/3j6b-H-bundle2.H"	"YOR150W"	100	148	148	0	0	0	148	100	1	148	148	100	100	2	149	164	4e-109	309	792
"3j6b/3j6b-H-bundle2.H"	"YNL069C"	30.97	35	113	58	4	20	49	43.36	27	135	148	74	74	15	111	199	5e-05	39.7	91
"3j6b/3j6b-H-bundle2.H"	"YIL133C"	30.09	34	113	59	4	20	49	43.36	27	135	148	74	74	16	112	200	2e-04	37.7	86
"3j6b/3j6b-I-bundle2.I"	"YKL170W"	90.58	125	138	0	1	13	125	90.58	1	125	125	100	100	1	138	139	2e-83	242	618
"3j6b/3j6b-I-bundle2.I"	"YER117W"	33.96	36	106	63	5	7	55	51.89	6	106	125	81	81	21	124	138	6e-06	40.8	94
"3j6b/3j6b-I-bundle2.I"	"YBL087C"	33.96	36	106	63	5	7	55	51.89	6	106	125	81	81	21	124	138	6e-06	40.8	94
"3j6b/3j6b-J-bundle2.J"	"YNL284C"	100	220	220	0	0	0	220	100	1	220	220	100	100	58	277	323	6e-160	447	1151
"3j6b/3j6b-K-bundle2.K"	"YBL038W"	100	195	195	0	0	0	195	100	1	195	195	100	100	38	232	233	1e-144	404	1038
"3j6b/3j6b-L-bundle2.L"	"YJL063C"	96.62	229	237	0	1	8	229	96.62	1	229	229	100	100	2	238	239	1e-167	464	1194
"3j6b/3j6b-M-bundle2.M"	"YCR046C"	100	151	151	0	0	0	151	100	1	151	151	100	100	16	166	170	5e-107	304	779
"3j6b/3j6b-N-bundle2.N"	"YJL096W"	100	118	118	0	0	0	118	100	1	118	118	100	100	44	161	162	1e-82	241	614
"3j6b/3j6b-O-bundle2.O"	"YNL177C"	99.55	223	224	0	1	1	223	99.55	1	223	223	100	100	86	309	310	8e-154	432	1110
"3j6b/3j6b-P-bundle2.P"	"YDR405W"	100	207	207	0	0	0	207	100	1	207	207	100	100	55	261	264	5e-156	435	1118
"3j6b/3j6b-Q-bundle2.Q"	"YPL173W"	94.26	279	296	0	4	17	279	94.26	1	279	279	100	100	2	297	298	0	548	1412
"3j6b/3j6b-R-bundle2.R"	"YNL005C"	94.36	318	337	0	3	19	318	94.36	1	318	318	100	100	35	371	372	0	624	1610
"3j6b/3j6b-S-bundle2.S"	"YMR193W"	97.33	146	150	0	1	4	146	97.33	1	146	146	100	100	22	171	259	1e-100	291	745
"3j6b/3j6b-T-bundle2.T"	"YLR439W"	92.89	209	225	0	2	16	209	92.89	1	209	209	100	100	15	239	320	2e-148	418	1074
"3j6b/3j6b-U-bundle2.U"	"YMR286W"	100	82	82	0	0	0	82	100	1	82	82	100	100	2	83	87	3e-53	162	409
"3j6b/3j6b-V-bundle2.V"	"YBR122C"	100	64	64	0	0	0	64	100	1	64	64	100	100	20	83	178	9e-43	137	345
"3j6b/3j6b-W-bundle2.W"	"YCR003W"	100	112	112	0	0	0	112	100	1	112	112	100	100	72	183	184	8e-79	231	590
