"orf"	"nsSNP"	"annotation_sgd"	"annotation_uni"
"YDR135C"	5	"Vacuolar glutathione S-conjugate transporter; ABC-C transporter of the ATP-binding cassette family; required for vacuole fusion; forms stable complexes with vacuole fusion machinery; regulates Vam7p recruitment to vacuoles; role in detoxifying metals (Cd, Hg, As); transports GSSG that is not immediately reduced in cytosol to vacuole; transports unconjugated bilirubin, selenodigluthatione, oxidized glutathione; similar to human cystic fibrosis protein CFTR"	" Cooperates for the ATP-dependent vacuolar transport of bilirubin and glutathione conjugates. {ECO:0000269|PubMed:10790694, ECO:0000269|PubMed:8626454}."
"YLL048C"	4	"Transporter of the ATP-binding cassette (ABC) family; involved in bile acid transport; negative regulator of vacuole fusion; regulates release of lumenal Ca2+ stores; similar to mammalian bile transporters; YBT1 has a paralog, VMR1, that arose from the whole genome duplication"	" Vacuolar class C ABC transporter which regulates the translocation of phosphatidylcholine to the vacuole lumen, the release of lumenal calcium stores, and acts as a negative regulator of vacuole fusion. Exhibits ATP-dependent bile acid transport. {ECO:0000269|PubMed:21649806, ECO:0000269|PubMed:22970809}."
"YLL015W"	5	"ABC type transmembrane transporter of MRP/CFTR family; found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p"	" Cooperates for the ATP-dependent vacuolar transport of bilirubin and glutathione conjugates. {ECO:0000269|PubMed:10790694, ECO:0000269|PubMed:12044871}."
"YPR184W"	6	"Glycogen debranching enzyme; contains glucanotranferase and alpha-1,6-amyloglucosidase activities; required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p; protein abundance increases in response to DNA replication stress"	" Multifunctional enzyme acting as 1,4-alpha-D-glucan:1,4-alpha-D-glucan 4-alpha-D-glycosyltransferase and amylo-1,6-glucosidase in glycogen degradation. {ECO:0000269|PubMed:11094287, ECO:0000269|PubMed:21585652}."
"YMR246W"	4	"Long chain fatty acyl-CoA synthetase; activates fatty acids with a preference for C12:0-C16:0 chain lengths; role in the competitive import of long-chain fatty acids and sphingoid long-chain bases; role in stationary phase survival; localizes to lipid particles and the plasma membrane; role in sphingolipid-to-glycerolipid metabolism; forms cytoplasmic foci upon replication stress; faa1 faa4 double null complemented by any of human ACSBG1, ACSL1, 3, 4, 5, 6, SLC27A2, or 4"	" Esterification, concomitant with transport, of exogenous long-chain fatty acids into metabolically active CoA thioesters for subsequent degradation or incorporation into phospholipids. Contributes, with FAA1, to the activation of imported myristate."
"YDL205C"	4	"Porphobilinogen deaminase; catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme; human homolog HMBS can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid"	" Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps."
"YGR032W"	4	"Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication"	" Alternate catalytic subunit of the 1,3-beta-glucan synthase (GS). Synthesizes 1,3-beta-glucan, a major structural component of the yeast cell wall. Required for spore wall assembly. Negative regulation of activity by SMK1 is important for spore wall deposition. Activity is positively regulated by RHO1. {ECO:0000269|PubMed:17158736, ECO:0000269|PubMed:7565718}."
"YBR115C"	4	"Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p"	" Catalyzes the activation of alpha-aminoadipate by ATP-dependent adenylation and the reduction of activated alpha-aminoadipate by NADPH. The activated alpha-aminoadipate is bound to the phosphopantheinyl group of the enzyme itself before it is reduced to (S)-2-amino-6-oxohexanoate. {ECO:0000269|PubMed:10320345}."
"YBR208C"	5	"Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress"	" Hydrolysis of urea to ammonia and CO(2)."
"YDL102W"	7	"Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis, intragenic recombination, repair of double strand DNA breaks, and DNA replication during nucleotide excision repair (NER)"	" DNA polymerase delta (DNA polymerase III) participates in chromosomal DNA replication. It is required during synthesis of the leading and lagging DNA strands at the replication fork and binds at/or near replication origins and moves along DNA with the replication fork. It has 3'-5' proofreading exonuclease activity that correct errors arising during DNA replication. It is also involved in DNA synthesis during DNA repair. POL3 contains the polymerase active site and most likely the active site for the 3'-5' exonuclease activity. {ECO:0000269|PubMed:1648480}."
"YFL054C"	6	"Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol"	"NA"
"YFL036W"	5	"Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation; Rpo41p also synthesizes RNA primers for mitochondrial DNA replication"	" DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates."
"YFR019W"	4	"1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis"	" The PI(3,5)P2 regulatory complex regulates both the synthesis and turnover of phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2). Catalyzes the phosphorylation of phosphatidylinositol 3-phosphate on the fifth hydroxyl of the myo-inositol ring, to form phosphatidylinositol 3,5-bisphosphate. Required for endocytic-vacuolar pathway and nuclear migration. The product of the reaction it catalyzes functions as an important regulator of vacuole homeostasis perhaps by controlling membrane flux to and/or from the vacuole. Hyperosmotic shock-induced increase in the levels of PtdIns(3,5)P2 requires the presence of VAC7, VAC14, and/or FIG4. {ECO:0000269|PubMed:16492811, ECO:0000269|PubMed:9811604}."
"YFR030W"	4	"Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide"	" This enzyme catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L-cysteine from sulfate."
"YGR061C"	4	"Formylglycinamidine-ribonucleotide (FGAM)-synthetase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway"	" Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate (By similarity). {ECO:0000250}."
"YIL160C"	5	"3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids"	"NA"
"YKR089C"	4	"Multifunctional lipase/hydrolase/phospholipase; triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catalyzes acyl-CoA dependent acylation of LPA to PA; required with Tgl3p for timely bud formation; phosphorylated and activated by Cdc28p; TGL4 has a paralog, TGL5, that arose from the whole genome duplication"	" Releases specific fatty acids from neutral lipid triacylglycerols (TAG) thereby supplying fatty acids to a general acylation process. May have a specific role in sporulation. {ECO:0000269|PubMed:16135509}."
"YMR306W"	5	"Protein involved in spore wall assembly; has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	" Required for spore wall assembly. {ECO:0000269|PubMed:17158736}."
