	protein_id	index_id	ortholog_id	pan_id	mRNA_id	gene_id	strain
0	Metschnikowia_drakensbergensis@Seq_1	76_0	OG163101	Metschnikowia_drakensbergensis@Seq_1	augustus_masked-draA_s31-processed-gene-0.56-mRNA-1_1 gene=augustus_masked-draA_s31-processed-gene-0.56 CDS=1-570	gene=augustus_masked-draA_s31-processed-gene-0.56 CDS=1-570	Metschnikowia_drakensbergensis
1	Metschnikowia_drakensbergensis@Seq_2	76_1	OG5835	Metschnikowia_santaceciliae@Seq_3529	augustus_masked-draA_s100-processed-gene-0.13-mRNA-1_1 gene=augustus_masked-draA_s100-processed-gene-0.13 CDS=1-1029	gene=augustus_masked-draA_s100-processed-gene-0.13 CDS=1-1029	Metschnikowia_drakensbergensis
2	Metschnikowia_drakensbergensis@Seq_3	76_2	OG5753	Metschnikowia_aberdeeniae@Seq_3344	augustus_masked-draA_s27-processed-gene-0.6-mRNA-1_1 gene=augustus_masked-draA_s27-processed-gene-0.6 CDS=1-1488	gene=augustus_masked-draA_s27-processed-gene-0.6 CDS=1-1488	Metschnikowia_drakensbergensis
3	Metschnikowia_drakensbergensis@Seq_4	76_3	OG8136	Metschnikowia_similis@Seq_1048	maker-draA_s44-augustus-gene-0.33-mRNA-1_1 gene=maker-draA_s44-augustus-gene-0.33 CDS=1-771	gene=maker-draA_s44-augustus-gene-0.33 CDS=1-771	Metschnikowia_drakensbergensis
4	Metschnikowia_drakensbergensis@Seq_5	76_4	OG1399	Saccharomyces_cerevisiae@YDR352W	augustus_masked-draA_s37-processed-gene-1.188-mRNA-1_1 gene=augustus_masked-draA_s37-processed-gene-1.188 CDS=1-1581	gene=augustus_masked-draA_s37-processed-gene-1.188 CDS=1-1581	Metschnikowia_drakensbergensis
5	Metschnikowia_drakensbergensis@Seq_6	76_5	OG2205	Saccharomyces_cerevisiae@YGL022W	augustus_masked-draA_s63-processed-gene-0.78-mRNA-1_1 gene=augustus_masked-draA_s63-processed-gene-0.78 CDS=1-2226	gene=augustus_masked-draA_s63-processed-gene-0.78 CDS=1-2226	Metschnikowia_drakensbergensis
6	Metschnikowia_drakensbergensis@Seq_7	76_6	OG2391	Saccharomyces_cerevisiae@YOL005C	maker-draA_s17-augustus-gene-6.138-mRNA-1_1 gene=maker-draA_s17-augustus-gene-6.138 CDS=1-360	gene=maker-draA_s17-augustus-gene-6.138 CDS=1-360	Metschnikowia_drakensbergensis
7	Metschnikowia_drakensbergensis@Seq_8	76_7	OG6048	Hanseniaspora_uvarum@Seq_1666	snap_masked-draA_s71-processed-gene-0.65-mRNA-1_1 gene=snap_masked-draA_s71-processed-gene-0.65 CDS=1-645	gene=snap_masked-draA_s71-processed-gene-0.65 CDS=1-645	Metschnikowia_drakensbergensis
8	Metschnikowia_drakensbergensis@Seq_9	76_8	OG2532	Saccharomyces_cerevisiae@YPL249C	augustus_masked-draA_s57-processed-gene-0.46-mRNA-1_1 gene=augustus_masked-draA_s57-processed-gene-0.46 CDS=1-1971	gene=augustus_masked-draA_s57-processed-gene-0.46 CDS=1-1971	Metschnikowia_drakensbergensis
9	Metschnikowia_drakensbergensis@Seq_10	76_9	OG3627	Saccharomyces_cerevisiae@YBR217W	augustus_masked-draA_s91-processed-gene-0.55-mRNA-1_1 gene=augustus_masked-draA_s91-processed-gene-0.55 CDS=1-552	gene=augustus_masked-draA_s91-processed-gene-0.55 CDS=1-552	Metschnikowia_drakensbergensis
