"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"sstart2"	"send2"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"	"pdb_length"	"Coverage"	"locus"	"note"
"Q06488"	""	889	"03c023e2500a12371e7311871e2c8d91"	"5cd95f6fa03a1b256d9649af"	"SWISSMODEL"	401	628	"4bb7.1.A"	0.9359158162	0.8046841018	100	"https://swissmodel.expasy.org/repository/uniprot/Q06488.pdb?provider=swissmodel&from=401&to=628&template=4bb7.1.A&provider=swissmodel"	"401_628_4bb7.1.A_5cd95f6fa03a1b256d9649af"	NA	NA	"4bb7"	NA	227	0.255343082114736	"YLR357W"	NA
"O13516"	""	197	"17a0a3c8d956a192409c68e895d0547c"	"5cd7654ca03a1b18995a6da0"	"SWISSMODEL"	2	186	"4v88.85.A"	-3.1850099954	0.6483289159	100	"https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?provider=swissmodel&from=2&to=186&template=4v88.85.A&provider=swissmodel"	"2_186_4v88.85.A_5cd7654ca03a1b18995a6da0"	NA	NA	"4v88"	NA	184	0.934010152284264	"YPL081W"	NA
"P10614"	""	530	"eeda5e73324cf8a460f9b5db0123a11c"	"5cd6bdcad60c59b2622ecf99"	"SWISSMODEL"	6	530	"5eqb.1.A"	-0.2610458025	0.7618130572	99.8113174438	"https://swissmodel.expasy.org/repository/uniprot/P10614.pdb?provider=swissmodel&from=6&to=530&template=5eqb.1.A&provider=swissmodel"	"6_530_5eqb.1.A_5cd6bdcad60c59b2622ecf99"	NA	NA	"5eqb"	NA	524	0.988679245283019	"YHR007C"	NA
"P06780"	""	209	"21bce84c38a376459261e1cf498f6960"	"5cd727f6732c1e1fe2c8c072"	"SWISSMODEL"	8	185	"3a58.1.B"	-0.0453090426	0.7829878226	99.4623641968	"https://swissmodel.expasy.org/repository/uniprot/P06780.pdb?provider=swissmodel&from=8&to=185&template=3a58.1.B&provider=swissmodel"	"8_185_3a58.1.B_5cd727f6732c1e1fe2c8c072"	NA	NA	"3a58"	NA	177	0.84688995215311	"YPR165W"	NA
"P25443"	""	254	"8eb86981ee1e67239d053c7bebab1cdc"	"5cd63aa93b85d18239c97575"	"SWISSMODEL"	29	254	"5ll6.1.D"	-3.1572696446	0.648928529	100	"https://swissmodel.expasy.org/repository/uniprot/P25443.pdb?provider=swissmodel&from=29&to=254&template=5ll6.1.D&provider=swissmodel"	"29_254_5ll6.1.D_5cd63aa93b85d18239c97575"	NA	NA	"5ll6"	NA	225	0.885826771653543	"YGL123W"	NA
"P41057"	""	56	"a359b7a9b8799df3c79940c132e6f216"	"5cc7bff58fd6f9712c41d6b3"	"SWISSMODEL"	4	56	"4v88.105.A"	-2.0578190416	0.6072608086	100	"https://swissmodel.expasy.org/repository/uniprot/P41057.pdb?provider=swissmodel&from=4&to=56&template=4v88.105.A&provider=swissmodel"	"4_56_4v88.105.A_5cc7bff58fd6f9712c41d6b3"	NA	NA	"4v88"	NA	52	0.928571428571429	"YLR388W"	NA
"Q3E7X9"	""	67	"cae424c69ede593f6a29dc2d91a241fd"	"5cdb9ab4a03a1b1475da2c63"	"SWISSMODEL"	5	67	"4v88.29.A"	-3.7662018326	0.5349460907	100	"https://swissmodel.expasy.org/repository/uniprot/Q3E7X9.pdb?provider=swissmodel&from=5&to=67&template=4v88.29.A&provider=swissmodel"	"5_67_4v88.29.A_5cdb9ab4a03a1b1475da2c63"	NA	NA	"4v88"	NA	62	0.925373134328358	"YOR167C"	NA
"P40484"	""	314	"bdc403493ffa28ce227a0d8fd985f41c"	"5cd512e08fd6f9c72c8cda32"	"SWISSMODEL"	81	313	"2hjn.1.A"	-2.7438649772	0.6830739966	100	"https://swissmodel.expasy.org/repository/uniprot/P40484.pdb?provider=swissmodel&from=81&to=313&template=2hjn.1.A&provider=swissmodel"	"81_313_2hjn.1.A_5cd512e08fd6f9c72c8cda32"	NA	NA	"2hjn"	NA	232	0.738853503184713	"YIL106W"	NA
"P0C0X0"	""	67	"231243a4c10028983699584b2ceb6082"	"5cdb9f4a732c1e5e7d8f2831"	"SWISSMODEL"	5	67	"5mc6.12.A"	-1.5650519268	0.6890564338	100	"https://swissmodel.expasy.org/repository/uniprot/P0C0X0.pdb?provider=swissmodel&from=5&to=67&template=5mc6.12.A&provider=swissmodel"	"5_67_5mc6.12.A_5cdb9f4a732c1e5e7d8f2831"	NA	NA	"5mc6"	NA	62	0.925373134328358	"YLR264W"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb2a"	"SWISSMODEL"	318	692	"4l9i.1.A"	-3.1614355686	0.653026987	29.8816566467	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=318&to=692&template=4l9i.1.A&provider=swissmodel"	"318_692_4l9i.1.A_5cd85341732c1e182528eb2a"	NA	NA	"4l9i"	NA	374	0.519444444444444	"YCR091W"	NA
"P25341"	""	720	"e66de00fcb71f6a43395f8a1d6bb206d"	"5cd85341732c1e182528eb36"	"SWISSMODEL"	249	622	"6e9w.1.A"	-2.7486487638	0.6680945402	37.6811599731	"https://swissmodel.expasy.org/repository/uniprot/P25341.pdb?provider=swissmodel&from=249&to=622&template=6e9w.1.A&provider=swissmodel"	"249_622_6e9w.1.A_5cd85341732c1e182528eb36"	NA	NA	"6e9w"	NA	373	0.518055555555556	"YCR091W"	NA
"P35997"	""	82	"2ca667bb3fe937c92797cde042881dc8"	"5cdb131a3b85d12873ea3338"	"SWISSMODEL"	2	82	"4v88.103.A"	-2.8126738692	0.608754069	100	"https://swissmodel.expasy.org/repository/uniprot/P35997.pdb?provider=swissmodel&from=2&to=82&template=4v88.103.A&provider=swissmodel"	"2_82_4v88.103.A_5cdb131a3b85d12873ea3338"	NA	NA	"4v88"	NA	80	0.975609756097561	"YKL156W"	NA
"P39938"	""	119	"e9d7566350eabbcba3f6b87295a9587f"	"5cd98ce83b85d1b7791a6cee"	"SWISSMODEL"	2	104	"6fyx.1.3"	-2.4799363439	0.6660440082	92.4369735718	"https://swissmodel.expasy.org/repository/uniprot/P39938.pdb?provider=swissmodel&from=2&to=104&template=6fyx.1.3&provider=swissmodel"	"2_104_6fyx.1.3_5cd98ce83b85d1b7791a6cee"	NA	NA	"6fyx"	NA	102	0.857142857142857	"YGL189C"	NA
"P34253"	""	313	"82ac848e966496709b0f355ffd957673"	"5cd5152dd60c59960d9d633f"	"SWISSMODEL"	2	311	"3a4l.1.A"	-2.2608444786	0.6859003832	21.7213115692	"https://swissmodel.expasy.org/repository/uniprot/P34253.pdb?provider=swissmodel&from=2&to=311&template=3a4l.1.A&provider=swissmodel"	"2_311_3a4l.1.A_5cd5152dd60c59960d9d633f"	NA	NA	"3a4l"	NA	309	0.987220447284345	"YKL110C"	NA
"P0CX30"	""	145	"a2eef4459978872c013ff2597d4ee1f4"	"5cd8aaf0a03a1b105c66cd89"	"SWISSMODEL"	2	145	"4v88.24.A"	-2.8117868057	0.6389944026	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX30.pdb?provider=swissmodel&from=2&to=145&template=4v88.24.A&provider=swissmodel"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	NA	NA	"4v88"	NA	143	0.986206896551724	"YPR132W"	NA
"P26783"	""	225	"aefa52fc1fce14ef0a14a0aea0b14517"	"5a7e8efd7aaa0d0a4ed854ee"	"SWISSMODEL"	13	225	"5wlc.3.A"	-2.2160655717	0.6921491051	100	"https://swissmodel.expasy.org/repository/uniprot/P26783.pdb?provider=swissmodel&from=13&to=225&template=5wlc.3.A&provider=swissmodel"	"13_225_5wlc.3.A_5a7e8efd7aaa0d0a4ed854ee"	NA	NA	"5wlc"	NA	212	0.942222222222222	"YJR123W"	NA
