Alloascoidea_hylecoeti@Seq_9	OG5471
Alloascoidea_hylecoeti@Seq_6464	OG1023
Alloascoidea_hylecoeti@Seq_8762	OG1195
Alloascoidea_hylecoeti@Seq_442	OG3569
Alloascoidea_hylecoeti@Seq_1225	OG1260
Alloascoidea_hylecoeti@Seq_1171	OG3355
Alloascoidea_hylecoeti@Seq_5992	OG1023
Alloascoidea_hylecoeti@Seq_4574	OG3355
Alloascoidea_hylecoeti@Seq_6507	OG4477
Alloascoidea_hylecoeti@Seq_9019	OG4477
Alloascoidea_hylecoeti@Seq_5408	OG4477
Alloascoidea_hylecoeti@Seq_9182	OG1275
Alloascoidea_hylecoeti@Seq_5771	OG1907
Alloascoidea_hylecoeti@Seq_5557	OG1588
Alloascoidea_hylecoeti@Seq_6414	OG3310
Alloascoidea_hylecoeti@Seq_346	OG1013
Alloascoidea_hylecoeti@Seq_7686	OG2059
Alloascoidea_hylecoeti@Seq_9073	OG9478
Alloascoidea_hylecoeti@Seq_5725	OG1090
Alloascoidea_hylecoeti@Seq_6536	OG1040
Alloascoidea_hylecoeti@Seq_1121	OG1013
Alloascoidea_hylecoeti@Seq_7157	OG2704
Alloascoidea_hylecoeti@Seq_2958	OG2422
Alloascoidea_hylecoeti@Seq_214	OG1013
Alloascoidea_hylecoeti@Seq_582	OG1095
Alloascoidea_hylecoeti@Seq_4877	OG5227
Alloascoidea_hylecoeti@Seq_7908	OG1090
Alloascoidea_hylecoeti@Seq_1966	OG1083
Alloascoidea_hylecoeti@Seq_865	OG1013
Alloascoidea_hylecoeti@Seq_7382	OG2693
Alloascoidea_hylecoeti@Seq_8616	OG2704
Alloascoidea_hylecoeti@Seq_2155	OG1013
Alloascoidea_hylecoeti@Seq_7462	OG4570
Alloascoidea_hylecoeti@Seq_4530	OG2112
Alloascoidea_hylecoeti@Seq_7193	OG1132
Alloascoidea_hylecoeti@Seq_3321	OG1083
Alloascoidea_hylecoeti@Seq_8957	OG1083
Alloascoidea_hylecoeti@Seq_6346	OG1555
Alloascoidea_hylecoeti@Seq_8552	OG4006
Ambrosiozyma_kashinagacola@Seq_3603	OG5423
Ambrosiozyma_kashinagacola@Seq_1560	OG3104
Ambrosiozyma_kashinagacola@Seq_2241	OG1023
Ambrosiozyma_kashinagacola@Seq_4886	OG1195
Ambrosiozyma_kashinagacola@Seq_2425	OG3393
Ambrosiozyma_kashinagacola@Seq_1040	OG1989
Ambrosiozyma_kashinagacola@Seq_3347	OG1023
Ambrosiozyma_kashinagacola@Seq_4022	OG1525
Ambrosiozyma_kashinagacola@Seq_483	OG1132
Ambrosiozyma_kashinagacola@Seq_2317	OG3616
Ambrosiozyma_kashinagacola@Seq_5537	OG1275
Ambrosiozyma_kashinagacola@Seq_2240	OG1907
Ambrosiozyma_kashinagacola@Seq_5010	OG1013
Ambrosiozyma_kashinagacola@Seq_3980	OG1340
Ambrosiozyma_kashinagacola@Seq_3478	OG1003
Ambrosiozyma_kashinagacola@Seq_128	OG2059
Ambrosiozyma_kashinagacola@Seq_5069	OG1143
Ambrosiozyma_kashinagacola@Seq_658	OG1013
Ambrosiozyma_kashinagacola@Seq_1063	OG2704
Ambrosiozyma_kashinagacola@Seq_991	OG2422
Ambrosiozyma_kashinagacola@Seq_4487	OG1013
Ambrosiozyma_kashinagacola@Seq_2196	OG3569
Ambrosiozyma_kashinagacola@Seq_173	OG1095
Ambrosiozyma_kashinagacola@Seq_1581	OG3355
Ambrosiozyma_kashinagacola@Seq_5577	OG2693
Ambrosiozyma_kashinagacola@Seq_2019	OG7391
Ambrosiozyma_kashinagacola@Seq_4920	OG1920
Ambrosiozyma_kashinagacola@Seq_5268	OG1997
Ambrosiozyma_kashinagacola@Seq_5535	OG2112
Ambrosiozyma_kashinagacola@Seq_4081	OG8240
Ambrosiozyma_kashinagacola@Seq_1811	OG1555
Ambrosiozyma_kashinagacola@Seq_4156	OG1555
Ambrosiozyma_monospora@Seq_6960	OG3355
Ambrosiozyma_monospora@Seq_7532	OG1023
Ambrosiozyma_monospora@Seq_4545	OG1195
Ambrosiozyma_monospora@Seq_4802	OG2059
Ambrosiozyma_monospora@Seq_5417	OG1195
Ambrosiozyma_monospora@Seq_7026	OG3393
Ambrosiozyma_monospora@Seq_3675	OG1013
Ambrosiozyma_monospora@Seq_4087	OG1132
Ambrosiozyma_monospora@Seq_7256	OG3616
Ambrosiozyma_monospora@Seq_2495	OG1275
Ambrosiozyma_monospora@Seq_2470	OG1907
Ambrosiozyma_monospora@Seq_2882	OG1013
Ambrosiozyma_monospora@Seq_3609	OG3569
Ambrosiozyma_monospora@Seq_4920	OG1920
Ambrosiozyma_monospora@Seq_5924	OG1997
Ambrosiozyma_monospora@Seq_6601	OG1143
Ambrosiozyma_monospora@Seq_7139	OG4122
Ambrosiozyma_monospora@Seq_2519	OG1023
Ambrosiozyma_monospora@Seq_6772	OG1013
Ambrosiozyma_monospora@Seq_260	OG4331
Ambrosiozyma_monospora@Seq_1658	OG1040
Ambrosiozyma_monospora@Seq_3970	OG2704
Ambrosiozyma_monospora@Seq_2950	OG1275
Ambrosiozyma_monospora@Seq_2046	OG2422
Ambrosiozyma_monospora@Seq_3877	OG1095
Ambrosiozyma_monospora@Seq_6274	OG1090
Ambrosiozyma_monospora@Seq_2322	OG6775
Ambrosiozyma_monospora@Seq_3742	OG2693
Ambrosiozyma_monospora@Seq_7663	OG1040
Ambrosiozyma_monospora@Seq_1693	OG3263
Ambrosiozyma_monospora@Seq_5993	OG1908
Ambrosiozyma_monospora@Seq_971	OG2112
Ambrosiozyma_monospora@Seq_4862	OG1083
Ambrosiozyma_monospora@Seq_4870	OG1555
Arxula_adeninivorans@Seq_4447	OG5471
Arxula_adeninivorans@Seq_2405	OG1908
Arxula_adeninivorans@Seq_3989	OG1013
Arxula_adeninivorans@Seq_321	OG1195
Arxula_adeninivorans@Seq_2748	OG2059
Arxula_adeninivorans@Seq_4106	OG3393
Arxula_adeninivorans@Seq_4637	OG2907
Arxula_adeninivorans@Seq_1225	OG3355
Arxula_adeninivorans@Seq_6	OG3616
Arxula_adeninivorans@Seq_5040	OG1275
Arxula_adeninivorans@Seq_4147	OG1403
Arxula_adeninivorans@Seq_2412	OG1401
Arxula_adeninivorans@Seq_2069	OG1132
Arxula_adeninivorans@Seq_1351	OG6854
Arxula_adeninivorans@Seq_5208	OG1920
Arxula_adeninivorans@Seq_2317	OG1026
Arxula_adeninivorans@Seq_1276	OG5280
Arxula_adeninivorans@Seq_2231	OG5471
Arxula_adeninivorans@Seq_2197	OG5471
Arxula_adeninivorans@Seq_2650	OG1907
Arxula_adeninivorans@Seq_29	OG5455
Arxula_adeninivorans@Seq_5434	OG1040
Arxula_adeninivorans@Seq_3273	OG13381
Arxula_adeninivorans@Seq_2081	OG2704
Arxula_adeninivorans@Seq_4360	OG1090
Arxula_adeninivorans@Seq_124	OG2422
Arxula_adeninivorans@Seq_1139	OG1095
Arxula_adeninivorans@Seq_4044	OG1090
Arxula_adeninivorans@Seq_3435	OG6869
Arxula_adeninivorans@Seq_589	OG1083
Arxula_adeninivorans@Seq_2375	OG6145
Arxula_adeninivorans@Seq_2214	OG2693
Arxula_adeninivorans@Seq_5573	OG3263
