substrate_OGID	panID
OG1055	YAL054C
OG2637	YAR035W
OG4707	YBR018C
OG3994	YBR019C
OG4231	YBR020W
OG1112	YBR117C
OG2970	YCR036W
OG1521	YDL168W
OG1310	YDR256C
OG1001	YDR508C
OG3393	YDR536W
OG3790	YEL039C
OG2099	YER065C
OG1021	YER073W
OG2845	YFL017C
OG1406	YFL053W
OG1208	YGL253W
OG5404	YGR088W
OG3151	YGR194C
OG1488	YGR256W
OG1040	YGR289C
OG2455	YHL032C
OG1662	YHR020W
OG1013	YHR096C
OG1022	YHR104W
OG3100	YIL155C
OG5441	YIL162W
OG3241	YJL068C
OG3782	YJR159W
OG1275	YKL148C
OG1073	YKL217W
OG1281	YKR089C
OG4477	YLL043W
OG1178	YML054C
OG1044	YMR006C
OG1016	YMR083W
OG1127	YNL268W
OG5747	YNL318C
OG1195	YOL103W
OG1458	YOR388C
OG1510	YPL134C
OG1519	YPL189W
OG1059	YMR058W
OG3645	YLR446W
OG1411	YMR110C
OG5455	YDR387C
OG1337	YBR001C
OG8291	YNR073C
OG4079	YDR248C
OG1179	YOL157C
OG1008	YDR093W
OG26966	Aspergillus_nidulans@Seq_304
OG19929	Aspergillus_nidulans@Seq_5582
OG117108	Lachancea_nothofagi@Seq_1152
OG111160	Lachancea_nothofagi@Seq_1209
OG151349	Lachancea_nothofagi@Seq_1338
OG17730	Sclerotinia_sclerotiorum@Seq_12832
OG210827	Stagonospora_nodorum@Seq_3145
OG16233	yHMPu5000034671_Blastobotrys_peoriensis@Seq_23
OG6281	yHMPu5000034671_Blastobotrys_peoriensis@Seq_4464
OG85367	yHMPu5000034754_Lipomyces_arxii@Seq_7880
OG54011	yHMPu5000034757_Lipomyces_doorenjongii@Seq_4851
OG120632	Ascoidea_asiatica@Seq_615
OG40024	Aspergillus_nidulans@Seq_10090
OG124203	Aspergillus_nidulans@Seq_4324
OG44777	Candida_parapsilosis@Seq_3886
OG40546	Coccidioides_immitis@Seq_4320
OG232025	Fusarium_graminearum@Seq_1806
OG135269	Lipomyces_starkeyi@Seq_8074
OG168054	Metschnikowia_cerradonensis@Seq_1055
OG30903	Nakazawaea_peltata@Seq_2761
OG221656	Sclerotinia_sclerotiorum@Seq_8264
OG74511	Yarrowia_keelungensis@Seq_3217
OG86090	yHAB159_Kazachstania_solicola@Seq_19
OG63866	yHMPu5000026142_Citeromyces_matritensis@Seq_5424
OG47810	yHMPu5000026142_Citeromyces_matritensis@Seq_5771
OG10836	yHMPu5000034607_Saccharomycopsis_capsularis@Seq_980
OG106582	yHMPu5000034625_Pichia_kudriavzevii@Seq_2148
OG186148	yHMPu5000034631_Martiniozyma_abiesophila@Seq_10929
OG66077	yHMPu5000034631_Martiniozyma_abiesophila@Seq_1206
OG49636	yHMPu5000034631_Martiniozyma_abiesophila@Seq_12580
OG138028	yHMPu5000034631_Martiniozyma_abiesophila@Seq_3015
OG205348	yHMPu5000034631_Martiniozyma_abiesophila@Seq_6808
OG134598	yHMPu5000034655_Botryozyma_nematodophila@Seq_9815
OG17972	yHMPu5000034671_Blastobotrys_peoriensis@Seq_1022
OG91850	yHMPu5000034673_Blastobotrys_nivea@Seq_6326
OG96588	yHMPu5000034754_Lipomyces_arxii@Seq_620
OG147639	yHMPu5000034754_Lipomyces_arxii@Seq_6365
OG110183	yHMPu5000034754_Lipomyces_arxii@Seq_6741
OG193256	yHMPu5000034760_Lipomyces_kononenkoae@Seq_1189
OG11611	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_233
OG147899	yHMPu5000034952_Citeromyces_siamensis@Seq_12537
OG174351	yHMPu5000034952_Citeromyces_siamensis@Seq_8934
OG39614	yHMPu5000034974_Deakozyma_indianensis@Seq_2743
