ortholog	pan id	gene id	sequence id of ingroup best hit	taxonomy id of ingroup best hit	evalue of ingroup best hit	sequence id of outgroup best hit	taxonomy id of outgroup best hit	evalue of outgroup best hit	alien index	outgroup percentage	HGT or not
OG1022	YHR104W	Candida_versatilis@Seq_1988	KZM27619.1-5454-Ascochyta_rabiei-Dothideomy	5454	2e-75	WP_034578216.1-64323-Carnimonas_nigrif-Proteobact	64323	5e-136	139.54139994076266	100.0	Yes
OG1016	YMR083W	Starmerella_bombicola_JCM9596@Seq_755	EXA43834.1-1080344-Fusarium_oxysporu-Sordariomy	1080344	7e-88	WP_063905341.1-376620-Gluconobacter_jap-Proteobac	376620	2e-150	144.01303873412618	99.6666666666667	Yes
OG1016	YMR083W	Wickerhamiella_domercqiae@Seq_3942	XP_006691002.1-759272-Chaetomium_thermo-Sordariom	759272	7e-81	WP_014403045.1-81475-Frateuria_auranti-Proteobact	81475	3e-135	125.18689288206568	100.0	Yes
OG1016	YMR083W	Candida_apicola@Seq_4299	CCX10586.1-1076935-Pyronema_omphalod-other_Pezi	1076935	4e-81	WP_063353251.1-1633874-Acetobacter_sp_SL-Proteoba	1633874	6e-139	133.14447028554648	99.3333333333333	Yes
OG1016	YMR083W	Candida_infanticola@Seq_3032	KIJ98755.1-1095629-Laccaria_amethyst-Basidiomyc	1095629	3e-66	WP_010017828.1-1631-Fructobacillus_fr-Firmicutes	1631	1e-139	169.18732407723343	100.0	Yes
OG1016	YMR083W	Candida_infanticola@Seq_3267	GAD94605.1-1356009-Byssochlamys_spec-Eurotiomyc	1356009	7e-60	WP_058906044.1-1390-Bacillus_amyloliq-Firmicutes	1390	1e-128	158.52169647265046	99.6666666666667	Yes
OG1016	YMR083W	Candida_versatilis@Seq_1672	KFY26937.1-1420906-Pseudogymnoascus_-Leotiomyce	1420906	1e-88	WP_063905341.1-376620-Gluconobacter_jap-Proteobac	376620	3e-169	185.41078024384956	99.3333333333333	Yes
OG1016	YMR083W	Candida_versatilis@Seq_2181	XP_006691002.1-759272-Chaetomium_thermo-Sordariom	759272	9e-82	WP_048883801.1-433-Acetobacteraceae-Proteobact	433	4e-150	157.38671653981143	99.3333333333333	Yes
OG1016	YMR083W	Candida_versatilis@Seq_5318	XP_006691002.1-759272-Chaetomium_thermo-Sordariom	759272	5e-85	WP_048883801.1-433-Acetobacteraceae-Proteobact	433	3e-154	159.38919704035516	99.3333333333333	Yes
OG1458	YOR388C	Candida_infanticola@Seq_766	XP_007381287.1-741275-Punctularia_strig-Basidiomy	741275	3e-125	WP_026256474.1-1157943-Mycobacterium_sp_-Actinoba	1157943	0.0	173.79249426322156	100.0	Yes
OG8291	YNR073C	Candida_versatilis@Seq_1404	KXH41316.1-1209931-Colletotrichum_sa-Sordariomy	1209931	3e-110	WP_057927176.1-152480-Burkholderia_ambi-Proteobac	152480	0.0	208.33127065813224	100.0	Yes
OG54011	yHMPu5000034757_Lipomyces_doorenjongii@Seq_4851	yHMPu5000034757_Lipomyces_doorenjongii@Seq_4851	XP_018288297.1-763407-Phycomyces_blakes-other_Fun	763407	4e-16	WP_045672262.1-1126833-Paenibacillus_bei-Firmicut	1126833	0.0	425.0619514720243	99.3333333333333	Yes
OG11021	Aspergillus_nidulans@Seq_1491	Candida_versatilis@Seq_3908	KGQ11306.1-1245745-Beauveria_bassian-Sordariomy	1245745	7e-64	OHC45358.1-1802011-Rhodanobacter_sp_-Proteobact	1802011	3e-153	205.77737113685728	100.0	Yes
OG32200	Schizosaccharomyces_pombe@Seq_4906	Candida_versatilis@Seq_3292	KZT63972.1-1314783-Daedalea_quercina-Basidiomyc	1314783	3e-117	WP_064121731.1-376489-Halotalea_alkalil-Proteobac	376489	8e-155	86.51740428076198	99.6666666666667	Yes
OG32200	Schizosaccharomyces_pombe@Seq_4906	Candida_versatilis@Seq_3980	KZT63972.1-1314783-Daedalea_quercina-Basidiomyc	1314783	1e-107	WP_058960191.1-1560357-Type_E_symbiont_o-Proteoba	1560357	2e-165	132.85678821309472	99.6666666666667	Yes
OG8167	yHMPu5000041855_Candida_ascalaphidarum@Seq_2625	yHMPu5000035032_Candida_gatunensis@Seq_3457	OKP14594.1-1316194-Penicillium_subru-Eurotiomyc	1316194	1e-77	WP_053656813.1-1415544-Streptomyces_sp_M-Actinoba	1415544	3e-113	81.79445105911753	97.3333333333333	Yes
