gene_id	OG
yHMPu5000035296_Priceomyces_carsonii@Seq_4027	OG1184
yHMPu5000034758_Lipomyces_japonicus@Seq_1171	OG6904
yHMPu5000034757_Lipomyces_doorenjongii@Seq_1657	OG3790
yHMPu5000035650_Trigonopsis_variabilis@Seq_3535	OG6904
Lipomyces_starkeyi@Seq_7476	OG6904
yHMPu5000035633_Candida_hispaniensis@Seq_2087	OG6904
yHMPu5000035665_Middelhovenomyces_tepae@Seq_3286	OG6904
yHMPu5000035643_Yarrowia_bubula@Seq_4893	OG6904
yHMPu5000034670_Blastobotrys_proliferans@Seq_7045	OG6904
yHMPu5000034673_Blastobotrys_nivea@Seq_6135	OG6904
yHMPu5000034681_Blastobotrys_americana@Seq_154	OG6904
yHMPu5000035244_Candida_incommunis@Seq_2666	OG1040
yHMPu5000034674_Blastobotrys_muscicola@Seq_5599	OG6904
Starmerella_bombicola_JCM9596@Seq_4683	OG3790
yHMPu5000035665_Middelhovenomyces_tepae@Seq_1803	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_3116	OG1040
Arxula_adeninivorans@Seq_4081	OG6904
yHMPu5000035691_Candida_salmanticensis@Seq_2861	OG6904
yHMPu5000034671_Blastobotrys_peoriensis@Seq_3773	OG6904
yHMPu5000035244_Candida_incommunis@Seq_1832	OG1040
Lipomyces_starkeyi@Seq_6936	OG6904
yHMPu5000035282_Trigonopsis_vinaria@Seq_119	OG6904
yHMPu5000034605_Spencermartinsiella_europaea@Seq_5272	OG6904
Arxula_adeninivorans@Seq_5024	OG3790
yHMPu5000034761_Lipomyces_lipofer@Seq_5367	OG3790
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2667	OG3790
yHMPu5000035244_Candida_incommunis@Seq_1213	OG6904
yHMPu5000035243_Zygoascus_meyerae@Seq_1	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_6502	OG6904
Lipomyces_starkeyi@Seq_128	OG6904
yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4386	OG6904
yHMPu5000035691_Candida_salmanticensis@Seq_4107	OG6904
yHMPu5000034754_Lipomyces_arxii@Seq_1471	OG1040
Lipomyces_starkeyi@Seq_4367	OG65956
yHMPu5000034742_Lipomyces_suomiensis@Seq_483	OG6904
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_4673	OG3790
yHMPu5000034671_Blastobotrys_peoriensis@Seq_933	OG1040
yHMPu5000034749_Lipomyces_mesembrius@Seq_2284	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_805	OG1013
yHMPu5000034754_Lipomyces_arxii@Seq_2009	OG6904
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_3737	OG6904
Lipomyces_starkeyi@Seq_4001	OG1040
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_2578	OG6904
