gene_id	OG
Spathaspora_gorwiae@Seq_5008	OG9265
yHMPu5000034761_Lipomyces_lipofer@Seq_207	OG1260
yHMPu5000035296_Priceomyces_carsonii@Seq_4027	OG1184
yHMPu5000034758_Lipomyces_japonicus@Seq_1171	OG6904
Candida_tenuis@Seq_1909	OG6281
yHMPu5000034757_Lipomyces_doorenjongii@Seq_5344	OG11610
yHMPu5000034671_Blastobotrys_peoriensis@Seq_4465	OG1260
yHMPu5000034749_Lipomyces_mesembrius@Seq_7082	OG1260
yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_4102	OG8167
Scheffersomyces_lignosus@Seq_2736	OG9265
Spathaspora_arborariae@Seq_5001	OG9265
yHMPu5000041822_Dipodascus_geniculatus@Seq_2744	OG1075
yHMPu5000034671_Blastobotrys_peoriensis@Seq_1252	OG9265
yHMPu5000034671_Blastobotrys_peoriensis@Seq_6263	OG18345
yHMPu5000034757_Lipomyces_doorenjongii@Seq_1657	OG3790
yHMPu5000034998_Cephaloascus_albidus@Seq_2332	OG3393
yHMPu5000035650_Trigonopsis_variabilis@Seq_3535	OG6904
Lipomyces_starkeyi@Seq_7476	OG6904
yHMPu5000034670_Blastobotrys_proliferans@Seq_2561	OG53051
yHMPu5000035633_Candida_hispaniensis@Seq_2087	OG6904
yHMPu5000034675_Blastobotrys_mokoenaii@Seq_1054	OG10917
yHMPu5000035665_Middelhovenomyces_tepae@Seq_3286	OG6904
yHMPu5000035643_Yarrowia_bubula@Seq_4893	OG6904
yHMPu5000034754_Lipomyces_arxii@Seq_2175	OG11610
yHMPu5000034670_Blastobotrys_proliferans@Seq_7045	OG6904
yHMPu5000034760_Lipomyces_kononenkoae@Seq_3924	OG5620
yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_5116	OG9265
Sugiyamaella_lignohabitans@Seq_1566	OG9265
yHMPu5000034673_Blastobotrys_nivea@Seq_6135	OG6904
yHMPu5000034681_Blastobotrys_americana@Seq_154	OG6904
