"locus"	"pdbid"	"sstart2"	"send2"	"qstart2"	"qend2"	"strain_type"	"p_value"
"YCL040W"	"YCL040W@model1"	1	500	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL021W"	"YDL021W@model1"	1	311	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR278W"	"YMR278W@model1"	1	622	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOL056W"	"YOL056W@model1"	1	303	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR164W"	"YLR164W@model1"	1	168	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR036W"	"YCR036W@model1"	1	333	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR073W-A"	"YCR073W-A@model1"	1	315	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL181W"	"YKL181W@model1"	1	427	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNR034W"	"YNR034W@model1"	1	321	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR322C-A"	"YDR322C-A@model1"	1	96	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YER141W"	"YER141W@model1"	1	486	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL008C"	"YGL008C@model1"	1	918	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL036W"	"YPL036W@model1"	1	947	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL132W"	"YPL132W@model1"	1	300	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL172C"	"YPL172C@model1"	1	462	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR020W"	"YPR020W@model1"	1	115	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR357W"	"401_628_4bb7.1.A_5cd95f6fa03a1b256d9649af"	401	628	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPL081W"	"2_186_4v88.85.A_5cd7654ca03a1b18995a6da0"	2	186	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.0075"
"YHR007C"	"6_530_5eqb.1.A_5cd6bdcad60c59b2622ecf99"	6	530	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR165W"	"8_185_3a58.1.B_5cd727f6732c1e1fe2c8c072"	8	185	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL123W"	"29_254_5ll6.1.D_5cd63aa93b85d18239c97575"	29	254	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.1732"
"YLR388W"	"4_56_4v88.105.A_5cc7bff58fd6f9712c41d6b3"	4	56	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.1028"
"YOR167C"	"5_67_4v88.29.A_5cdb9ab4a03a1b1475da2c63"	5	67	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL106W"	"81_313_2hjn.1.A_5cd512e08fd6f9c72c8cda32"	81	313	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR264W"	"5_67_5mc6.12.A_5cdb9f4a732c1e5e7d8f2831"	5	67	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCR091W"	"318_692_4l9i.1.A_5cd85341732c1e182528eb2a"	318	692	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YKL156W"	"2_82_4v88.103.A_5cdb131a3b85d12873ea3338"	2	82	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL189C"	"2_104_6fyx.1.3_5cd98ce83b85d1b7791a6cee"	2	104	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YKL110C"	"2_311_3a4l.1.A_5cd5152dd60c59960d9d633f"	2	311	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR132W"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	2	145	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YJR123W"	"13_225_5wlc.3.A_5a7e8efd7aaa0d0a4ed854ee"	13	225	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.7865"
"YPL007C"	"2_588_2j04.1.A_5cd74e45732c1e664b8a9baa"	2	588	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YGR118W"	"2_145_4v88.24.A_5cd8aaf0a03a1b105c66cd89"	2	145	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YLR367W"	"2_129_5nwy.1.f_5cd923b28fd6f9d3b20e81a8"	2	129	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YNR037C"	"9_88_5mrc.58.A_5cdab593732c1e9fa7899d33"	9	88	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDR496C"	"116_655_4wzr.2.A_5cd7d75e9ffd12706478b6c1"	116	655	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML026C"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	2	128	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.7833"
"YDR450W"	"2_128_5wlc.1.A_5cd8a6b308cc8fc19f254284"	2	128	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBL027W"	"1_189_4v6i.46.A_5cd7913d9ffd1252cba6ae1d"	1	189	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YMR143W"	"3_143_5mc6.6.A_5cd8bc17a03a1bf13a51a4e3"	3	143	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.9224"
"YJL191W"	"11_138_6hhq.134.A_5cd8e6c6a03a1b10008a2639"	11	138	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.983"
"YDR025W"	"2_156_5i4l.12.A_5cd85a991a200ba1b126d536"	2	156	NA	NA	"dN_dS_max_gap_ratio_0.3"	"0.3202"
"YDL220C"	"13_224_3nwt.1.B_5cd9926d3b85d15d931900a1"	13	224	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YDL220C"	"346_475_4hce.1.B_5cd9926d3b85d15d9319009d"	346	475	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YCR022C"	"27_58_2db2.1.A_5cd9cc168fd6f9da62729fba"	27	58	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YML109W"	"855_880_4pdn.1.A_5a80962f7f4bf99c54494031"	855	880	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YBR154C"	"2_215_3gto.1.D_5cd70754d60c5999e5249dbb"	2	215	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YGL146C"	"102_214_5azx.1.A_5cd5203d3b85d1de31614f18"	102	214	NA	NA	"dN_dS_max_gap_ratio_0.3"	"NA"
"YCR008W"	"308_594_4ifg.1.A_5cd76e6a9ffd121d5f0f91e5"	308	594	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR147C"	"5_136_5bov.1.A_5a7cf823c730d40d85d3f097"	5	136	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR294W"	"9_201_3jct.1.m_5cd744e03b85d132ebdb856e"	9	201	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YDL044C"	"277_384_5iwb.1.B_5a87dbf1ad01f070fb6d883f"	277	384	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR137W"	"130_570_4j0x.1.A_5cd730a708cc8f1bb7b0e18c"	130	570	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YOR001W"	"5_615_5c0w.1.K_5cd86df4732c1e301644fe3b"	5	615	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YCL031C"	"3_189_4m5d.1.B_5cd579ff3b85d1fc89988b7e"	3	189	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YPR183W"	"3_234_5mlz.1.A_5cd601468fd6f97f3794af0f"	3	234	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YHR069C"	"2_357_4ifd.1.H_5cdd4212732c1e3318b16fe8"	2	357	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
"YIL148W"	"2_83_2kdi.1.A_5cd935a09ffd12bb7ab1b045"	2	83	NA	NA	"dN_dS_max_gap_ratio_0.3"	"No interesting sites or related Ortholog groups!"
