species	expansion	contraction	rapidly_evolving
Geotrichum_Candidum	5	2	3
Metschnikowia_Matae	11	0	11
Yhmpu5000034904_Ogataea_Nonfermentans	8	0	4
Yhmpu5000035670_Phaffomyces_Opuntiae	4	0	4
Metschnikowia_Aberdeeniae	9	0	9
Saccharomyces_Mikatae	3	0	3
Yhmpu5000034665_Kodamaea_Laetipori	5	3	5
Yhmpu5000034611_Saturnispora_Mendoncae	1	0	1
Yhmpu5000035686_Cyberlindnera_Saturnus	5	0	5
Yhmpu5000035048_Barnettozyma_Salicaria	4	4	4
Yhmpu5000035045_Barnettozyma_Hawaiiensis	3	0	3
Yhmpu5000034990_Candida_Corydali	8	2	5
Yhmpu5000034709_Kluyveromyces_Aestuarii	4	1	4
Eremothecium_Cymbalariae	1	1	1
Yhmpu5000034884_Peterozyma_Toletana	4	0	4
Yhmpu5000035707_Candida_Heveicola	3	0	3
Yhmpu5000035279_Tortispora_Starmeri	4	1	3
Yhmpu5000035673_Candida_Orba	4	1	4
Spathaspora_Gorwiae	6	1	6
Yhmpu5000034624_Pichia_Nakasei	2	2	2
Metschnikowia_Mauinuiana	9	1	9
Yhmpu5000034675_Blastobotrys_Mokoenaii	4	0	3
Yhmpu5000041829_Debaryomyces_Fabryi	5	0	5
Yhmpu5000035274_Wickerhamomyces_Alni	3	0	3
Lachancea_Meyersii	3	1	3
Metschnikowia_Kamakouana	10	1	10
Brettanomyces_Anomalus	6	0	5
Candida_Tenuis	5	4	5
Ascoidea_Asiatica	8	2	4
Yhmpu5000035652_Torulaspora_Maleeae	3	1	3
Yhmpu5000035699_Cyberlindnera_Maclurae	3	1	3
Candida_Apicola	3	1	2
Yhmpu5000034614_Saturnispora_Silvae	2	2	2
Yhmpu5000034918_Nakazawaea_Holstii	5	2	5
Yhmpu5000035690_Candida_Vartiovaarae	4	0	4
Metschnikowia_Proteae	9	1	9
Yhmpu5000034899_Ogataea_Kodamae	2	3	2
Lachancea_Lanzarotensis	4	1	3
Yhmpu5000035037_Candida_Montana	4	0	4
Naumovozyma_Dairenensis	3	0	3
Nakaseomyces_Nivariensis	2	0	1
Yhmpu5000041855_Candida_Ascalaphidarum	4	4	3
Yhmpu5000035651_Torulaspora_Microellipsoides	4	1	3
Metschnikowia_Hawaiiensis	9	1	9
Yhmpu5000034901_Ogataea_Methylivora	7	0	4
Yhmpu5000034643_Candida_Schatavii	6	1	4
Yhmpu5000035643_Yarrowia_Bubula	4	0	3
Ashbya_Aceri	1	1	1
Yhmpu5000034866_Zygosaccharomyces_Bisporus	2	0	2
Yhmpu5000034890_Ogataea_Ramenticola	5	1	4
Yhmpu5000035659_Saturnispora_Dispora	1	0	1
Yhmpu5000034865_Zygosaccharomyces_Kombuchaensis	2	0	2
Ogataea_Methanolica	6	0	4
Saccharomyces_Uvarum	3	0	3
Millerozyma_Acaciae	4	3	4
Yhmpu5000034886_Ogataea_Trehalophila	3	0	3
Yhmpu5000034654_Aciculoconidium_Aculeatum	5	3	4
Yhmpu5000034757_Lipomyces_Doorenjongii	1	2	0
Yhmpu5000034594_Starmera_Quercuum	5	1	4
Yhmpu5000034661_Dipodascus_Albidus	3	1	3
Ascoidea_Rubescens	2	1	2
Yhmpu5000034681_Blastobotrys_Americana	2	1	2
Yhmpu5000034862_Zygotorulaspora_Florentina	4	2	3
Yhmpu5000035687_Cyberlindnera_Suaveolens	3	0	3
Nakaseomyces_Castellii	2	1	2
Metschnikowia_Lockheadii	9	1	9
Yhmpu5000035633_Candida_Hispaniensis	2	4	2
Lachancea_Cidri	3	0	3
Yhmpu5000034670_Blastobotrys_Proliferans	6	0	3
Yhmpu5000034932_Kuraishia_Ogatae	6	0	4
Yhmpu5000034939_Komagataella_Pseudopastoris	4	1	4
Yhmpu5000034967_Candida_Freyschussii	6	2	4
Saccharomyces_Paradoxus	3	2	3
Debaryomyces_Hansenii	6	0	5
Metschnikowia_Arizonensis	9	3	9
Babjeviella_Inositovora	9	3	5
Yhmpu5000035031_Candida_Kruisii	8	0	6
Yhmpu5000026152_Torulaspora_Franciscae	4	0	3
Yhmpu5000035674_Kregervanrija_Delftensis	3	0	3
Yhmpu5000035675_Kregervanrija_Fluxuum	3	1	3
Candida_Auris	3	0	3
Candida_Parapsilosis	6	1	5
Saccharomyces_Eubayanus	3	1	3
Yhab136_Kazachstania_Bromeliacearum	4	1	3
Yhmpu5000034632_Candida_Athensensis	5	2	5
Yhmpu5000034946_Ambrosiozyma_Oregonensis	4	1	3
Yarrowia_Keelungensis	3	1	3
Yhmpu5000034893_Ogataea_Philodendra	3	1	3
Yhmpu5000034606_Priceomyces_Medius	5	1	5
Yhmpu5000026124_Ogataea_Henricii	3	0	3
Candida_Carpophila	6	3	6
Candida_Tanzawaensis	6	1	5
