Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Geotrichum&Candidum	5 (3)	6	1.2	2 (0)	2	1.0	17	0.0632184
Metschnikowia&Matae	11 (11)	18	1.64	0 (0)	0	0	13	0.103448
Yhmpu5000034904&Ogataea&Nonfermentans	8 (4)	12	1.5	0 (0)	0	0	16	0.132184
Yhmpu5000035670&Phaffomyces&Opuntiae	4 (4)	5	1.25	0 (0)	0	0	20	0.0229885
Metschnikowia&Aberdeeniae	9 (9)	13	1.44	0 (0)	0	0	15	0.0689655
Saccharomyces&Mikatae	3 (3)	3	1.0	0 (0)	0	0	21	-0.0172414
Yhmpu5000034665&Kodamaea&Laetipori	5 (5)	8	1.6	3 (0)	3	1.0	16	0.0344828
Yhmpu5000034611&Saturnispora&Mendoncae	1 (1)	1	1.0	0 (0)	0	0	23	-0.00574713
Yhmpu5000035686&Cyberlindnera&Saturnus	5 (5)	8	1.6	0 (0)	0	0	19	0.045977
Yhmpu5000035048&Barnettozyma&Salicaria	4 (4)	4	1.0	4 (0)	4	1.0	16	-0.0229885
Yhmpu5000035045&Barnettozyma&Hawaiiensis	3 (3)	5	1.67	0 (0)	0	0	21	-0.0287356
Yhmpu5000034990&Candida&Corydali	8 (5)	10	1.25	2 (0)	2	1.0	14	0.0114943
Yhmpu5000034709&Kluyveromyces&Aestuarii	4 (4)	7	1.75	1 (0)	1	1.0	19	0.0229885
Eremothecium&Cymbalariae	1 (1)	1	1.0	1 (0)	1	1.0	22	-0.0229885
Yhmpu5000034884&Peterozyma&Toletana	4 (4)	10	2.5	0 (0)	0	0	20	0.0747126
Yhmpu5000035707&Candida&Heveicola	3 (3)	5	1.67	0 (0)	0	0	21	0.0229885
Yhmpu5000035279&Tortispora&Starmeri	4 (3)	5	1.25	1 (0)	1	1.0	19	0.00574713
Yhmpu5000035673&Candida&Orba	4 (4)	4	1.0	1 (0)	1	1.0	19	0.0229885
Spathaspora&Gorwiae	6 (6)	10	1.67	1 (0)	1	1.0	17	0.0747126
Yhmpu5000034624&Pichia&Nakasei	2 (2)	2	1.0	2 (0)	2	1.0	20	0
Metschnikowia&Mauinuiana	9 (9)	14	1.56	1 (1)	1	1.0	14	0.0747126
Yhmpu5000034675&Blastobotrys&Mokoenaii	4 (3)	4	1.0	0 (0)	0	0	20	0.0402299
Yhmpu5000041829&Debaryomyces&Fabryi	5 (5)	9	1.8	0 (0)	0	0	19	0.0747126
Yhmpu5000035274&Wickerhamomyces&Alni	3 (3)	7	2.33	0 (0)	0	0	21	0.0574713
