POS	exp01	exp10
1	15.35	16.98
2	7.14	4.539
3	3.14	9.255
4	0.9022	3.886
5	4.244	11.85
6	12.51	25.12
7	5.942	3.197
8	5.181	9.323
9	6.413	13.95
10	8.615	7.686
11	11.86	23.12
12	2.317	6.193
13	6.884	11.58
14	15.7	17.31
15	2.877	10.73
16	2.468	7.864
17	3.851	2.279
18	13.03	10.1
19	4.26	13.67
20	2.485	7.7
21	8.984	9.359
22	4.251	9.199
23	6.969	4.477
24	16.39	17.71
25	4.552	10.37
26	12.49	14.72
27	3.772	13.75
28	11.96	15.89
29	13.52	13.29
30	17.53	17.11
31	12.21	24.3
32	1.283	6.315
33	2.018	7.695
34	3.219	2.476
35	7.991	15.71
36	7.545	16.77
37	0.9691	4.844
38	2.108	6.486
39	13.45	18.78
40	10.68	21.2
41	2.763	1.977
42	1.546	6.107
43	4.596	4.128
44	13.2	22.72
45	13.2	22.72
46	10.1	7.628
47	2.253	7.59
48	15.31	21.91
49	12.33	16.74
50	1.485	7.541
51	11.21	20.84
52	1.07	7.224
53	21.24	14.69
54	5.433	9.296
55	13.2	20.64
56	2.205	7.807
57	5.243	5.336
58	12.48	7.804
59	0.6527	2.797
60	6.822	6.268
61	1.057	5.85
62	2.003	7.207
63	7.603	16.33
64	1.397	7.124
65	4.552	13.56
66	5.092	2.576
67	3.44	12.51
68	15.24	21.91
69	0.7986	4.711
70	9.829	19.84
71	5.182	4.312
72	9.084	8.831
73	17.26	15.99
74	15.85	17.02
75	7.81	7.743
76	3.075	9.266
77	8.759	6.867
78	4.134	14.11
79	1.02	1.976
80	0.962	6.846
