# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	1	N2	0.1189	0.1189	0.1629	3	0.1738	0.1755
loss	1	N2	0.1189	0.1189	0.1629	3	0.0771	0.07777
loss	1	N4	0.09654	0.2155	0.1023	3	0.2831	0.2847
loss	1	N8	0.102	0.3178	7.569e-08	2	0.337	0.3394
gain	1	N9	0.08611	0.4039	0.162	2	0.05145	0.0517
gain	1	N10	0.09368	0.4976	0.06827	3	0.06066	0.061
loss	1	N12	0.05066	0.5631	0.002765	2	0.07252	0.07265
gain	1	Escherichia_coli_K12	0.01771	0.5836	0	1	1	1
gain	1	Yersinia_pestis	0.2301	0.7426	0	1	0.94	0.9728
gain	1	N15	0.8811	1.379	1.882e-11	2	0.5106	0.6304
loss	1	N15	0.8811	1.379	1.882e-11	2	0.552	0.6976
gain	1	Vibrio_cholerae	0.2741	0.6781	0	1	0.1118	0.1148
loss	1	Vibrio_cholerae	0.2741	0.6781	0	1	0.1477	0.1528
gain	1	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2426	0.2624
loss	1	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.5155	0.5864
gain	1	N17	1.124	1.34	0.001039	2	0.5854	0.7822
loss	1	N17	1.124	1.34	0.001039	2	0.7476	1.106
loss	1	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.3562	0.3629
gain	1	N18	0.08709	0.3028	0.08119	2	0.294	0.2956
gain	1	N19	0.04472	0.3475	0.03648	3	0.3837	0.3842
gain	1	Brucella_melitensis	0.3466	0.6941	0	1	0.2587	0.2716
loss	1	Brucella_melitensis	0.3466	0.6941	0	1	0.2375	0.2485
loss	1	Caulobacter_vibrioides	0.1842	0.487	0	1	0.6186	0.6328
gain	1	N22	1.46	1.676	4.898e-06	2	0.707	1.077
loss	1	N22	1.46	1.676	4.898e-06	2	0.823	1.402
gain	1	N23	0.8467	2.523	2.697e-11	2	0.5036	0.6155
loss	1	N23	0.8467	2.523	2.697e-11	2	0.5037	0.6155
gain	1	N25	1.647	1.787	0.4354	2	0.7844	1.347
loss	1	N25	1.647	1.787	0.4354	2	0.8939	1.661
gain	1	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7132	1.087
loss	1	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7965	1.32
gain	1	N26	0.1288	1.916	0.3067	2	0.09097	0.09191
loss	1	N26	0.1288	1.916	0.3067	2	0.1208	0.1221
gain	1	Aquifex_aeolicus	2.838	4.754	0	1	0.9255	2.326
loss	1	Aquifex_aeolicus	2.838	4.754	0	1	0.9426	2.529
gain	1	Thermotoga_maritima	0.3067	2.222	0	1	0.121	0.1249
loss	1	Thermotoga_maritima	0.3067	2.222	0	1	0.3106	0.3273
loss	1	N27	0.05299	0.193	0.2036	2	0.09169	0.09187
gain	1	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.6544	0.7149
loss	1	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1894	0.1993
loss	1	N28	0.2036	0.3966	8.132e-08	2	0.5211	0.5346
gain	1	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.06889	0.06993
loss	1	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.06889	0.06993
gain	1	N29	0.08048	0.1994	0.08246	2	0.2726	0.2737
gain	1	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.3795	0.4052
loss	1	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2234	0.2342
gain	1	N30	0.08246	0.2819	2.435e-11	2	0.1829	0.1837
gain	1	N31	0.3418	0.3418	0.174	2	0.2951	0.3135
loss	1	N31	0.3418	0.3418	0.174	2	0.3329	0.3543
loss	1	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.4675	0.4763
gain	1	N32	0.1448	0.4867	0.1437	3	0.4143	0.4201
loss	1	Listeria_innocua	0.243	0.7296	0	1	0.8299	0.8618
gain	1	N35	0.1284	0.6151	0.01528	2	0.2126	0.2149
gain	1	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.2242	0.2272
gain	1	N36	0.675	1.162	0.09281	2	0.2777	0.3101
loss	1	N36	0.675	1.162	0.09281	2	0.8865	1.111
gain	2	N15	0.8811	1.379	1.882e-11	2	0.1714	0.1918
loss	2	N15	0.8811	1.379	1.882e-11	2	0.1739	0.1953
gain	2	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.07704	0.08069
loss	2	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.09616	0.1023
gain	2	N17	1.124	1.34	0.001039	2	0.2286	0.2668
loss	2	N17	1.124	1.34	0.001039	2	0.242	0.2884
gain	2	N18	0.08709	0.3028	0.08119	2	0.8773	0.8782
loss	2	N20	0.09521	0.4427	0.03546	2	0.8992	0.9003
gain	2	Brucella_melitensis	0.3466	0.6941	0	1	0.1102	0.1138
loss	2	Brucella_melitensis	0.3466	0.6941	0	1	0.05173	0.05317
gain	2	Mesorhizobium_loti	0.03647	0.384	0	1	0.06116	0.06118
gain	2	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1152	0.1163
gain	2	N22	1.46	1.676	4.898e-06	2	0.9959	1.233
loss	2	N22	1.46	1.676	4.898e-06	2	0.2045	0.2545
gain	2	N23	0.8467	2.523	2.697e-11	2	0.2356	0.2675
loss	2	N23	0.8467	2.523	2.697e-11	2	0.2356	0.2675
gain	2	N25	1.647	1.787	0.4354	2	0.4617	0.6006
loss	2	N25	1.647	1.787	0.4354	2	0.3279	0.426
gain	2	Fusobacterium_nucleatum	1.445	3.232	0	1	0.9011	1.116
loss	2	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2402	0.3002
loss	2	N26	0.1288	1.916	0.3067	2	0.06227	0.0625
gain	2	Aquifex_aeolicus	2.838	4.754	0	1	0.9587	1.584
loss	2	Aquifex_aeolicus	2.838	4.754	0	1	0.4587	0.7317
loss	2	Thermotoga_maritima	0.3067	2.222	0	1	0.1764	0.1795
gain	2	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.05093	0.05247
loss	2	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.06132	0.06381
loss	2	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.05009	0.05171
loss	2	N31	0.3418	0.3418	0.174	2	0.06497	0.06716
gain	2	N36	0.675	1.162	0.09281	2	0.1204	0.13
loss	2	N36	0.675	1.162	0.09281	2	0.1217	0.1317
gain	3	N2	0.1189	0.1189	0.1629	3	0.05333	0.05345
loss	3	N9	0.08611	0.4039	0.162	2	0.7677	0.7682
loss	3	N10	0.09368	0.4976	0.06827	3	0.1962	0.1964
gain	3	N15	0.8811	1.379	1.882e-11	2	0.1368	0.1445
loss	3	N15	0.8811	1.379	1.882e-11	2	0.1722	0.1839
loss	3	Vibrio_cholerae	0.2741	0.6781	0	1	0.2464	0.2487
gain	3	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.07694	0.07891
loss	3	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.0769	0.07887
gain	3	N17	1.124	1.34	0.001039	2	0.1027	0.1094
loss	3	N17	1.124	1.34	0.001039	2	1	1.109
gain	3	N22	1.46	1.676	4.898e-06	2	0.4167	0.4814
loss	3	N22	1.46	1.676	4.898e-06	2	0.4167	0.4813
gain	3	N23	0.8467	2.523	2.697e-11	2	0.06209	0.06454
loss	3	N23	0.8467	2.523	2.697e-11	2	1	1.065
gain	3	N25	1.647	1.787	0.4354	2	0.2367	0.2728
loss	3	N25	1.647	1.787	0.4354	2	0.9369	1.132
gain	3	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2552	0.2877
loss	3	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3684	0.427
loss	3	N26	0.1288	1.916	0.3067	2	0.05254	0.05265
gain	3	Aquifex_aeolicus	2.838	4.754	0	1	0.514	0.7079
loss	3	Aquifex_aeolicus	2.838	4.754	0	1	0.5692	0.813
loss	3	Thermotoga_maritima	0.3067	2.222	0	1	0.1255	0.1269
gain	3	N31	0.3418	0.3418	0.174	2	0.05426	0.0551
loss	3	N31	0.3418	0.3418	0.174	2	0.09323	0.09454
gain	3	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.09723	0.09763
loss	3	N32	0.1448	0.4867	0.1437	3	0.3261	0.3266
loss	3	Listeria_innocua	0.243	0.7296	0	1	0.5983	0.6018
gain	3	N35	0.1284	0.6151	0.01528	2	0.408	0.4086
loss	3	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.5945	0.5957
gain	3	N36	0.675	1.162	0.09281	2	0.06124	0.06326
loss	3	N36	0.675	1.162	0.09281	2	0.6274	0.6544
loss	4	N15	0.8811	1.379	1.882e-11	2	0.9995	1.013
gain	4	N17	1.124	1.34	0.001039	2	0.07121	0.07261
loss	4	N17	1.124	1.34	0.001039	2	0.07121	0.07261
gain	4	N22	1.46	1.676	4.898e-06	2	0.1171	0.1207
loss	4	N22	1.46	1.676	4.898e-06	2	0.1171	0.1207
gain	4	N25	1.647	1.787	0.4354	2	0.05602	0.05769
loss	4	N25	1.647	1.787	0.4354	2	0.9211	0.9643
gain	4	Fusobacterium_nucleatum	1.445	3.232	0	1	0.0817	0.08374
loss	4	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1712	0.1769
gain	4	Aquifex_aeolicus	2.838	4.754	0	1	0.2388	0.2576
loss	4	Aquifex_aeolicus	2.838	4.754	0	1	0.2933	0.3205
loss	4	Thermotoga_maritima	0.3067	2.222	0	1	0.0675	0.06763
loss	4	N31	0.3418	0.3418	0.174	2	0.08539	0.08561
gain	4	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1109	0.111
loss	4	N32	0.1448	0.4867	0.1437	3	0.8884	0.8888
gain	5	N15	0.8811	1.379	1.882e-11	2	0.09596	0.1009
loss	5	N15	0.8811	1.379	1.882e-11	2	0.9933	1.092
loss	5	Vibrio_cholerae	0.2741	0.6781	0	1	0.9752	0.9852
loss	5	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9999	1.035
gain	5	N17	1.124	1.34	0.001039	2	0.4091	0.456
loss	5	N17	1.124	1.34	0.001039	2	0.409	0.4559
gain	5	Brucella_melitensis	0.3466	0.6941	0	1	0.05257	0.05336
loss	5	Brucella_melitensis	0.3466	0.6941	0	1	0.05252	0.0533
gain	5	N22	1.46	1.676	4.898e-06	2	0.2212	0.2479
loss	5	N22	1.46	1.676	4.898e-06	2	0.9999	1.248
gain	5	N23	0.8467	2.523	2.697e-11	2	0.1834	0.1949
loss	5	N23	0.8467	2.523	2.697e-11	2	0.1834	0.1949
gain	5	N25	1.647	1.787	0.4354	2	0.3274	0.3848
loss	5	N25	1.647	1.787	0.4354	2	0.9449	1.22
gain	5	Fusobacterium_nucleatum	1.445	3.232	0	1	0.342	0.3927
loss	5	Fusobacterium_nucleatum	1.445	3.232	0	1	0.4658	0.5546
loss	5	N26	0.1288	1.916	0.3067	2	0.06205	0.06221
gain	5	Aquifex_aeolicus	2.838	4.754	0	1	0.6478	0.9379
loss	5	Aquifex_aeolicus	2.838	4.754	0	1	0.703	1.064
loss	5	Thermotoga_maritima	0.3067	2.222	0	1	0.1548	0.157
gain	5	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.07061	0.0721
loss	5	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.06598	0.06719
loss	5	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.006
gain	5	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.05767	0.05865
loss	5	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.05579	0.05667
gain	5	N31	0.3418	0.3418	0.174	2	0.08445	0.08606
loss	5	N31	0.3418	0.3418	0.174	2	0.05565	0.05658
loss	5	Listeria_innocua	0.243	0.7296	0	1	0.9913	0.9993
gain	5	N36	0.675	1.162	0.09281	2	0.08991	0.09367
loss	5	N36	0.675	1.162	0.09281	2	0.7929	0.84
loss	5	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.2472	0.2475
gain	5	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.7564	0.7573
loss	5	Lactococcus_lactis	0.1139	1.276	0	1	0.2485	0.2489
gain	6	N2	0.1189	0.1189	0.1629	3	0.2251	0.2274
loss	6	N2	0.1189	0.1189	0.1629	3	0.06754	0.06812
