# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =1
#  1->0 =1
#  1->1 =0
POS	MP01	MP10
1	7	0
2	5	0
3	1	5
4	0	3
5	3	6
6	8	0
7	5	0
8	6	1
9	5	3
10	3	0
11	6	0
12	3	3
13	5	0
14	6	0
15	1	7
16	3	1
17	2	0
18	6	1
19	7	3
20	1	6
21	4	0
22	8	0
23	3	0
24	8	0
25	4	3
26	4	0
27	9	1
28	2	4
29	5	0
30	8	0
31	7	0
32	1	4
33	4	0
34	2	0
35	6	1
36	5	0
37	1	2
38	5	0
39	5	0
40	4	2
41	3	0
42	0	5
43	3	0
44	7	0
45	7	0
46	6	0
47	6	0
48	10	0
49	7	0
50	5	1
51	6	0
52	0	6
53	11	0
54	6	0
55	6	0
56	3	1
57	1	3
58	7	0
59	0	2
60	3	0
61	0	5
62	2	5
63	6	3
64	1	5
65	1	8
66	4	1
67	0	9
68	10	0
69	0	4
70	4	5
71	2	1
72	4	0
73	7	0
74	8	0
75	4	1
76	5	2
77	4	0
78	3	7
79	0	1
80	0	6
