# Rates were calculated using the expectation of the posterior rate distribution
# Prior distribution is Gamma with 3 discrete categories
# SEQ: The presence(1) or Absence(0) in the reference sequence.Displayed on sequence Sinorhizobium_meliloti
# SCORE: The conservation scores. lower value = higher conservation.
# QQ-INTERVAL: the confidence interval for the rate estimates. The default interval is 25-75 percentiles
# STD: the standard deviation of the posterior rate distribution.
# MSA DATA: The number of aligned sequences having an amino acid (non-gapped) from the overall number of sequences at each position.
# The alpha parameter 1.449
# sp.rates(j)  j= 0	0.2764	0.3333
# sp.rates(j)  j= 1	0.7952	0.3333
# sp.rates(j)  j= 2	1.928	0.3333

=========================================================================================================================================================
#POS	SEQ	SCORE	QQ-INTERVAL	STD	MSA DATA
=========================================================================================================================================================
1	1	1.356076	[-1.684,1.635]	0.684	38/38
2	0	-0.4733573	[-1.684,1.635]	0.8558	38/38
3	1	-0.6349936	[-1.684,1.635]	0.5233	38/38
4	1	-1.189877	[-1.684,1.635]	0.1265	38/38
5	1	-0.3515949	[-1.684,1.635]	0.4675	38/38
6	0	1.606288	[-1.684,1.635]	0.2337	38/38
7	0	-0.7981329	[-1.684,1.635]	0.5852	38/38
8	1	-0.5434652	[-1.684,1.635]	0.5675	38/38
9	1	0.1264486	[-1.684,1.635]	0.8374	38/38
10	0	0.1296678	[-1.684,1.635]	1.063	38/38
11	1	1.45457	[-1.684,1.635]	0.5647	38/38
12	0	-1.077901	[-1.684,1.635]	0.3287	38/38
13	0	0.1174063	[-1.684,1.635]	0.9372	38/38
14	1	1.52975	[-1.684,1.635]	0.4422	38/38
15	1	-0.5553857	[-1.684,1.635]	0.458	38/38
16	1	-0.7721001	[-1.684,1.635]	0.5007	38/38
17	0	-0.9464173	[-1.684,1.635]	0.5342	38/38
18	0	0.5658414	[-1.684,1.635]	1.005	38/38
19	1	-0.1843831	[-1.684,1.635]	0.5661	38/38
20	1	-1.019931	[-1.684,1.635]	0.384	38/38
21	0	0.2366944	[-1.684,1.635]	1.056	38/38
22	1	-0.5843043	[-1.684,1.635]	0.5365	38/38
23	0	-0.4045364	[-1.684,1.635]	0.937	38/38
24	0	1.516282	[-1.684,1.635]	0.4667	38/38
25	1	-0.3302561	[-1.684,1.635]	0.5966	38/38
26	1	1.155787	[-1.684,1.635]	0.859	38/38
27	1	-0.196128	[-1.684,1.635]	0.5479	38/38
28	1	0.9846147	[-1.684,1.635]	0.9268	38/38
29	1	1.045307	[-1.684,1.635]	0.9071	38/38
30	0	1.558083	[-1.684,1.635]	0.3791	38/38
31	0	1.580842	[-1.684,1.635]	0.3196	38/38
32	0	-1.148485	[-1.684,1.635]	0.2265	38/38
33	1	-0.8441548	[-1.684,1.635]	0.4652	38/38
34	0	-1.020237	[-1.684,1.635]	0.4319	38/38
35	1	0.3790919	[-1.684,1.635]	0.9395	38/38
36	0	0.6216532	[-1.684,1.635]	0.9809	38/38
37	1	-1.195553	[-1.684,1.635]	0.105	38/38
38	0	-0.8714485	[-1.684,1.635]	0.5278	38/38
39	0	1.446276	[-1.684,1.635]	0.5797	38/38
40	0	1.333876	[-1.684,1.635]	0.7054	38/38
41	0	-1.128357	[-1.684,1.635]	0.272	38/38
42	1	-1.133135	[-1.684,1.635]	0.2489	38/38
43	0	-0.8056985	[-1.684,1.635]	0.5865	38/38
44	0	1.55409	[-1.684,1.635]	0.3882	38/38
45	0	1.55409	[-1.684,1.635]	0.3882	38/38
46	0	0.03379355	[-1.684,1.635]	0.8738	38/38
47	1	-0.980018	[-1.684,1.635]	0.3992	38/38
48	1	1.579125	[-1.684,1.635]	0.3245	38/38
49	1	0.9883138	[-1.684,1.635]	0.9222	38/38
50	1	-0.9779717	[-1.684,1.635]	0.4008	38/38
51	0	1.337197	[-1.684,1.635]	0.7016	38/38
52	1	-1.041948	[-1.684,1.635]	0.3492	38/38
53	0	1.612411	[-1.684,1.635]	0.2073	38/38
54	0	-0.4255233	[-1.684,1.635]	0.5649	38/38
55	1	1.533471	[-1.684,1.635]	0.4328	38/38
56	1	-0.8106062	[-1.684,1.635]	0.4782	38/38
57	1	-0.6873376	[-1.684,1.635]	0.7559	38/38
58	1	0.1456893	[-1.684,1.635]	0.897	38/38
59	1	-1.205587	[-1.684,1.635]	0.04628	38/38
60	0	-0.310268	[-1.684,1.635]	1.04	38/38
61	1	-1.162558	[-1.684,1.635]	0.1966	38/38
62	1	-0.9935892	[-1.684,1.635]	0.3844	38/38
63	1	0.268956	[-1.684,1.635]	0.9065	38/38
64	1	-1.101654	[-1.684,1.635]	0.2912	38/38
65	1	-0.265544	[-1.684,1.635]	0.5038	38/38
66	1	-1.051714	[-1.684,1.635]	0.3831	38/38
67	1	-0.3629837	[-1.684,1.635]	0.4482	38/38
68	0	1.543944	[-1.684,1.635]	0.4109	38/38
69	1	-1.201144	[-1.684,1.635]	0.07803	38/38
70	1	0.851597	[-1.684,1.635]	0.9589	38/38
71	0	-0.6052593	[-1.684,1.635]	0.8532	38/38
72	0	0.2617564	[-1.684,1.635]	1.066	38/38
73	0	1.510302	[-1.684,1.635]	0.4772	38/38
74	1	1.371488	[-1.684,1.635]	0.6669	38/38
75	0	-0.1069193	[-1.684,1.635]	0.9335	38/38
76	1	-0.7518677	[-1.684,1.635]	0.5768	38/38
77	1	-0.08160626	[-1.684,1.635]	1.023	38/38
78	1	-0.1937186	[-1.684,1.635]	0.5663	38/38
79	1	-1.207516	[-1.684,1.635]	0.02058	38/38
80	1	-1.155614	[-1.684,1.635]	0.2113	38/38
#Average = 0
#Standard Deviation = 1
