POS	prob01	prob10
1	11.98	12.45
2	5.809	3.927
3	2.787	8.466
4	0.8737	3.79
5	3.744	10.61
6	9.114	18.77
7	5.524	2.713
8	4.383	8.577
9	5.3	11.54
10	7.007	5.925
11	8.715	17.24
12	2.224	5.875
13	5.621	9.534
14	12.04	12.63
15	2.55	9.758
16	2.219	7.238
17	3.459	2.008
18	10.53	7.809
19	3.618	11.99
20	2.342	7.337
21	6.942	7.453
22	3.922	8.131
23	5.85	3.557
24	12.74	12.68
25	3.614	9.188
26	9.374	11.13
27	3.153	12.06
28	9.276	12.06
29	10.58	9.638
30	13.74	12.18
31	8.849	18.07
32	1.191	6.186
33	1.826	7.137
34	3.052	2.185
35	6.479	12.65
36	5.679	13.13
37	0.9473	4.687
38	1.897	5.938
39	10.09	13.8
40	7.703	15.78
41	2.652	1.798
42	1.461	5.928
43	4.279	3.59
44	9.785	16.72
45	9.785	16.72
46	8.807	5.915
47	2.062	7.252
48	11.22	16.29
49	9.42	12.59
50	1.352	7.171
51	7.563	15.76
52	0.9796	6.881
53	15.9	10.71
54	4.765	8.301
55	9.709	15.2
56	1.986	7.22
57	4.611	4.792
58	10.47	6.25
59	0.6346	2.697
60	5.866	4.963
61	0.9875	5.659
62	1.717	6.841
63	6.115	13.38
64	1.272	6.878
65	3.688	11.99
66	4.751	2.461
67	2.929	11.23
68	11.14	16.27
69	0.7809	4.564
70	7.261	15.51
71	4.467	3.666
72	6.662	7.178
73	13.04	11.72
74	12.31	12.32
75	6.655	6.469
76	2.751	8.516
77	7.327	5.441
78	3.42	12.46
79	0.9858	1.94
80	0.9168	6.626
