POS	LofPos
1	-22.94
2	-14.68
3	-16.33
4	-11.22
5	-19.23
6	-19.39
7	-14.15
8	-19.59
9	-17.29
10	-12.84
11	-19.57
12	-19.18
13	-15.75
14	-20.05
15	-17.8
16	-13.15
17	-8.091
18	-20.76
19	-20.47
20	-21.79
21	-14.63
22	-21.33
23	-11.79
24	-21.17
25	-15.88
26	-15.32
27	-16.44
28	-18.51
29	-17.31
30	-21.48
31	-18.17
32	-18.52
33	-13.35
34	-10.02
35	-18.95
36	-14.83
37	-15.15
38	-12.5
39	-17.17
40	-17.45
41	-9.002
42	-16.92
43	-13.12
44	-18.99
45	-18.99
46	-18.77
47	-18.68
48	-22.57
49	-21.93
50	-15.18
51	-16.65
52	-12.98
53	-28.45
54	-18.86
55	-17.13
56	-12.65
57	-18.1
58	-23.33
59	-8.45
60	-15.78
61	-11.83
62	-13.97
63	-20.05
64	-15.22
65	-20.06
66	-19.48
67	-16.61
68	-23.02
69	-14.69
70	-20.94
71	-13.16
72	-13.08
73	-20.82
74	-21.27
75	-17.99
76	-18.96
77	-16.54
78	-17.46
79	-11.09
80	-19.08
